Phrase en Anglais;Phrases en français


Predicting ahead, tomorrow's weather looks to be ${weather-adjective: 0[2]}.${prompt};
Finally, the forecast for the day after tomorrow calls for ${weather-noun: 0[2]}.${prompt};
${color-alt: 121}==== WARNINGï¼šaddr.(${unknown: 0x7F9500})=${number: 1} ====;
We hope you enjoy this complimentary little gift, courtesy of the citizens of Vana'diel!;
Make some room in your inventory to claim your prize!;
Have a gander at this special collaboration with Pictlogica Final Fantasy!;
The Adventurer Gratitude Campaign is currently underway!;
Enjoy this special gift courtesy of the FINAL FANTASY XI team!;
As a token of thanks for your unflagging devotion to Vana'diel, please enjoy this special gift courtesy of the FINAL FANTASY XI team!;
${color-alt: 121}You will be able to use the Assist Channel until ${ts-month: 0}/${ts-day: 0}/${ts-year: 0} at ${ts-hour: 0}:${ts-minute: 0} (JST).;
As a token of thanks for your unflagging devotion to Vana'diel, please enjoy this special gift courtesy of the FINAL FANTASY XI team!;
You cannot obtain the ${item-singular: 0[2]}.${prompt};
You cannot obtain any more.${prompt};
You cannot obtain the ${item-singular: 0[2]}.;
Come back after sorting your inventory.${prompt};
You cannot obtain the ${item-plural: 0[2]}.;
Come back after sorting your inventory.${prompt};
You cannot obtain the item.;
Come back after sorting your inventory.${prompt};
You cannot obtain the ${item-singular: 0[2]}.;
Speak with the mystic retriever after sorting your inventory.${prompt};
You cannot obtain the ${item-singular: 0[2]}.;
Try trading again after sorting your inventory.${prompt};
You must free at least ${number: 0} space${choice-plurality: 0}[/s] before trading any items.${prompt};
Obtained: ${lettercase: 1}${item-singular: 0[2]}.${prompt};
Obtained ${number: 0} gil.${prompt};
Obtained ${number: 0} gil.;
Obtained key item: ${lettercase: 1}${keyitem-singular: 0[2]}.${prompt};
Lost key item: ${lettercase: 1}${keyitem-singular: 0[2]}.${prompt};
You do not have enough gil.${prompt};
You obtain ${item-count: 1[2]} ${item-given-plurality: 1[2], 0[2]}!${prompt};
You do not have enough gil.;
A party member has an NPC called up.;
You cannot take part in this event.${prompt};
You obtain ${number: 1} ${item-given-plurality: 1[2], 0[2]}!${prompt};
You find the hoofprint of a gigantic warhorse...${prompt};
You set the ${keyitem-singular: 0[2]} in the warhorse hoofprint.${prompt};
The ${item-singular: 0[2]} is returned to you.${prompt};
The ${number: 1} ${item-plural: 0[2]} are returned to you.${prompt};
There is nothing out of the ordinary here.${prompt};
You are suddenly overcome with a sense of foreboding...${prompt};
Now is not the time for that!${prompt};
It seems that you will have to wait a bit longer...${prompt};
An aura of irrepressible might threatens to overwhelm you...${prompt};
You no longer sense the monster's presence...${prompt};
${number: 0}...${prompt};
The mine explodes!${prompt};
The mine misfires...${prompt};
You retrieve the mine.${prompt};
You successfully deactivate the mine!${prompt};
You failed to deactivate the mine...${prompt};
Obtained ${number: 0} cruor. (Total: ${number: 1})${prompt};
Obtained ${number: 0} cruor. (Total: ${number: 1});
You do not have enough cruor.${prompt};
You do not have enough cruor.;
You have obtained all of Lilisette's memory fragments.;
Make haste and report to Cait Sith.${prompt};
You cannot perform that action.;
Come back after you have obtained visitant status.;
You cannot perform that action while participating in Bastion.;
${color-alt: 121}Target out of range.${prompt};
