Phrase en Anglais;Phrase en Français
No need to worry about my magic, I have plenty.${prompt};
Keenly observe the flow of elements to prevent ${icon: light}-based explosions.;
Weapon Skill: Any staff weapon skill;
I will leave soon.${prompt};
Equipment: Target item must be equipped.;
I'll take it from here.${prompt};
Area: Yuhtunga Jungle.${prompt};
You learned Trust: ${spell: 1}!;
CLI_NUM4:${number: 0} CLI_NUM5:${number: 1} CLI_NUM6:${number: 2} CLI_NUM7:${number: 3}${prompt};
${color-alt: 141}The effect of Alchemical Smarts wears off.;
${color-alt: 141}${name-player} is diseased and cannot operate the furnace.;
Area: Dynamis - Bastok.${prompt};
Area: Sea Serpent Grotto.${prompt};
Shall we head back to town shortly?${prompt};
Keenly observe the flow of elements to prevent ${icon: earth}-based explosions.;
A Bastokan Expeditionary Force has been dispatched to this area.${prompt};
The synergy furnace has not been readied for use and cannot be operated.;
${color-alt: 123}Please claim your item before maintenance for the February 2022 version update begins.${prompt};
We've done enough today, I think.;
Weapon Skill: Steel Cyclone;
You're positive you don't have enough skill to reel this one in!${prompt};
I've never once had Signet cast on me.;
The synergy furnace is currently claimed.${prompt};
所属国：${number: 0};
Weapon Skill: Any katana weapon skill;
Area: La Theine Plateau.${prompt};
Let me catch my breath.${prompt};
Obtained key item: ${lettercase: 1}${keyitem-singular: 0[2]}.${prompt};
Nothing to write home about.${prompt};
No.${prompt};
I can sleep well tonight knowing I made a difference.${prompt};
Select an action.;
${choice: 0}[/Ugh.../Dammit!/Ugh.../I'm too badly hurt./This is a little.../No!/Ugh.../Ouch!/I'm too badly hurt.];
There's still a lot of work to be done until the next one.${prompt};
Check-QualityTable：No.${number: 0} Role：${number: 1};
I'm ready when you are.${prompt};
The floor about the furnace is free of fewell fragments.;
You successfully deactivate the mine!${prompt};
There's so much beauty to be found outside the city walls.;
time : ${number: 0} mes : ${number: 1} flag : ${number: 2} bonus : ${number: 3}${prompt};
4:${number: 0} 5:${number: 1} 6:${number: 2} 7:${number: 3}${prompt};
Awww, it's way past my nap time...${prompt};
Weapon Skill: Evisceration;
San d'Oria - Minor${prompt};
No more fighting for me.${prompt};
Point：${number: 0} >>> ${number: 1}${prompt};
