Phrase en Anglais;Phrase en Français
No need to worry about my magic, I have plenty.${prompt};Pas besoin de vous inquiéter pour ma magie, j'en ai plein.${prompt}
Keenly observe the flow of elements to prevent ${icon: light}-based explosions.;Observez attentivement le flux des éléments pour éviter${icon: light}-explosions à base de
Weapon Skill: Any staff weapon skill;Compétence d'arme : n'importe quelle compétence d'arme de bâton
I will leave soon.${prompt};Je partirai bientôt.${prompt}
Equipment: Target item must be equipped.;Équipement : L'objet ciblé doit être équipé.
I'll take it from here.${prompt};Je m'en charge à partir d'ici.${prompt}
Area: Yuhtunga Jungle.${prompt};Zone : Jungle de Yuhtunga.${prompt}
You learned Trust: ${spell: 1}!;Vous avez appris la confiance :${spell: 1}
CLI_NUM4:${number: 0} CLI_NUM5:${number: 1} CLI_NUM6:${number: 2} CLI_NUM7:${number: 3}${prompt};CLI_NUM4 :${number: 0}CLI_NUM5 :${number: 1}CLI_NUM6 :${number: 2}CLI_NUM7 :${number: 3}${prompt}
${color-alt: 141}The effect of Alchemical Smarts wears off.;${color-alt: 141}L'effet d'Alchemical Smarts s'estompe.
${color-alt: 141}${name-player} is diseased and cannot operate the furnace.;${color-alt: 141}${name-player}est malade et ne peut pas faire fonctionner le four.
Area: Dynamis - Bastok.${prompt};Zone : Dynamis - Bastok.${prompt}
Area: Sea Serpent Grotto.${prompt};Zone : Grotte du Serpent de Mer.${prompt}
Shall we head back to town shortly?${prompt};Devons-nous retourner en ville sous peu ?${prompt}
Keenly observe the flow of elements to prevent ${icon: earth}-based explosions.;Observez attentivement le flux des éléments pour éviter${icon: earth}-explosions à base de
A Bastokan Expeditionary Force has been dispatched to this area.${prompt};Une force expéditionnaire de Bastokan a été envoyée dans cette zone.${prompt}
The synergy furnace has not been readied for use and cannot be operated.;Le four synergique n’est pas prêt à l’emploi et ne peut pas être utilisé.
${color-alt: 123}Please claim your item before maintenance for the February 2022 version update begins.${prompt};${color-alt: 123}Veuillez réclamer votre objet avant le début de la maintenance de la mise à jour de la version de février 2022.${prompt}
We've done enough today, I think.;Nous en avons fait assez aujourd'hui, je pense.
Weapon Skill: Steel Cyclone;Compétence d'arme : Cyclone d'acier
You're positive you don't have enough skill to reel this one in!${prompt};Vous êtes sûr de ne pas avoir assez de compétences pour attraper celui-ci !${prompt}
I've never once had Signet cast on me.;Je n'ai jamais eu de Sceau sur moi.
The synergy furnace is currently claimed.${prompt};Le four synergique est actuellement réclamé.${prompt}
所属国：${number: 0};所属国：${number: 0}
Weapon Skill: Any katana weapon skill;Compétence d'arme : N'importe quelle compétence d'arme katana
Area: La Theine Plateau.${prompt};Secteur : Plateau de La Théine.${prompt}
Let me catch my breath.${prompt};Laisse-moi reprendre mon souffle.${prompt}
Obtained key item: ${lettercase: 1}${keyitem-singular: 0[2]}.${prompt};Objet clé obtenu :${lettercase: 1}${keyitem-singular: 0[2]}${prompt}
Nothing to write home about.${prompt};Rien d'extraordinaire.${prompt}
No.${prompt};Non.${prompt}
I can sleep well tonight knowing I made a difference.${prompt};Je peux bien dormir ce soir en sachant que j’ai fait une différence.${prompt}
Select an action.;Sélectionnez une action.
${choice: 0}[/Ugh.../Dammit!/Ugh.../I'm too badly hurt./This is a little.../No!/Ugh.../Ouch!/I'm too badly hurt.];${choice: 0}[/Ugh.../Merde !/Ugh.../Je suis trop gravement blessé./C'est un peu.../Non !/Ugh.../Aïe !/Je suis trop gravement blessé.]
There's still a lot of work to be done until the next one.${prompt};Il reste encore beaucoup de travail à faire jusqu'au prochain.${prompt}
Check-QualityTable：No.${number: 0} Role：${number: 1};Tableau de contrôle de qualité : Non.${number: 0}Rôle:${number: 1}
I'm ready when you are.${prompt};Je suis prêt quand tu l'es.${prompt}
The floor about the furnace is free of fewell fragments.;Le sol autour du four est exempt de quelques fragments.
You successfully deactivate the mine!${prompt};Vous avez réussi à désactiver la mine !${prompt}
There's so much beauty to be found outside the city walls.;Il y a tellement de beauté à découvrir en dehors des murs de la ville.
time : ${number: 0} mes : ${number: 1} flag : ${number: 2} bonus : ${number: 3}${prompt};temps :${number: 0}moi :${number: 1}drapeau :${number: 2}bonus :${number: 3}${prompt}
4:${number: 0} 5:${number: 1} 6:${number: 2} 7:${number: 3}${prompt};4:${number: 0}5:${number: 1}6:${number: 2}7:${number: 3}${prompt}
Awww, it's way past my nap time...${prompt};Awww, c'est largement passé l'heure de ma sieste...${prompt}
Weapon Skill: Evisceration;Compétence d'arme : Éviscération
San d'Oria - Minor${prompt};San d'Oria - Mineur${prompt}
No more fighting for me.${prompt};Plus de combat pour moi.${prompt}
Point：${number: 0} >>> ${number: 1}${prompt};Indiquer:${number: 0}${number: 1}${prompt}
1st: Windurst;1er : Windurst
speed : ${number: 0} +- : ${number: 1} exc : ${number: 2} client : ${number: 3}${prompt};vitesse :${number: 0}${number: 1}sauf :${number: 2}client :${number: 3}${prompt}
I'm ready for more!${prompt};Je suis prêt pour plus !${prompt}
DEBUG: ${number: 0} ${number: 1} ${number: 2} ${number: 3};DÉBOGUER:${number: 0}${number: 1}${number: 2}${number: 3}
Magical reserves running low!${prompt};Les réserves magiques s'épuisent !${prompt}
You have learned ${keyitem-singular: 0[2]}!${prompt};Vous avez appris${keyitem-singular: 0[2]}${prompt}
I come all the way here, and now you want me to leave? Hmph.;Je suis venu jusqu'ici, et maintenant tu veux que je parte ? Hmph.
CLI_NUM0:${number: 0} CLI_NUM1:${number: 1} CLI_NUM2:${number: 2} CLI_NUM3:${number: 3}${prompt};CLI_NUM0 :${number: 0}CLI_NUM1 :${number: 1}CLI_NUM2 :${number: 2}CLI_NUM3 :${number: 3}${prompt}
The last enemy we defeated was number ${number: 0}.${prompt};Le dernier ennemi que nous avons vaincu était le numéro${number: 0}${prompt}
Enemy: Monsters of the slime family.;Ennemi : Monstres de la famille des slimes.
${color-alt: 161}This area is currently affected by the Super Kupower: “Myriad Mystery Boxes”!;${color-alt: 161}Cette zone est actuellement concernée par le Super Kupower : « Myriad Mystery Boxes » !
item : ${number: 0} hp : ${number: 1} pow : ${number: 2} swing : ${number: 3}${prompt};article :${number: 0}ch :${number: 1}pouah :${number: 2}balançoire :${number: 3}${prompt}
I hope you don't mind me asking, but...uh...;J'espère que ça ne vous dérange pas que je vous pose la question, mais... euh...
Enemy: Monsters of the sea monk family.;Ennemi : Monstres de la famille des moines de la mer.
Yes, with new augment(s).;Oui, avec de nouvelles augmentations.
I hope it's compatible with your taste buds...${prompt};J'espère que cela conviendra à vos papilles...${prompt}
Kwakwah!;Ouah !
Your fight is with me.${prompt};Ton combat est avec moi.${prompt}
Are you ready?;Es-tu prêt?
${color-alt: 138}You are unable to make further progress in Rhapsodies of Vana'diel due to an event occurring in the quest ${choice: 1}[Champion of the Dawn/A Forbidden Reunion].;${color-alt: 138}Vous ne pouvez pas progresser davantage dans Rhapsodies of Vana'diel en raison d'un événement survenu dans la quête${choice: 1}[Champion de l'aube/Une réunion interdite].
Restore furnace durability by a significant amount.;Restaurez considérablement la durabilité du four.
Area: Western Altepa Desert.${prompt};Zone : Désert occidental d'Altepa.${prompt}
Lost key item: ${lettercase: 1}${keyitem-singular: 0[2]}.${prompt};Objet clé perdu :${lettercase: 1}${keyitem-singular: 0[2]}${prompt}
As a token of thanks for your unflagging devotion to Vana'diel, please enjoy this special gift courtesy of the FINAL FANTASY XI team!;En guise de remerciement pour votre dévouement sans faille envers Vana'diel, profitez de ce cadeau spécial offert par l'équipe de FINAL FANTASY XI !
${choice: 0}[/I think we've done enough for today./It's been a busy day!/That should be enough for today./I believe we reached our quota./No more fighting for me./I guess we should call it quits for today!/Time to take a break./I'm exhausted!/I believe we reached our quota.]${prompt};${choice: 0}[/Je pense que nous en avons fait assez pour aujourd'hui./Ça a été une journée chargée !/Ça devrait suffire pour aujourd'hui./Je crois que nous avons atteint notre quota./Plus de bagarre pour moi./Je suppose que nous devrions arrêter pour aujourd'hui !/Il est temps de faire une pause./Je suis épuisé !/Je crois que nous avons atteint notre quota.]${prompt}
E.F. Influence: Minimal...Region Status: Minimal...Increase efforts tenfold.${prompt};E.F. Influence : Minime...Statut de la région : Minime...Décuplez les efforts.${prompt}
1st: San d'Oria and Windurst (tie);1er : San d'Oria et Windurst (ex-aequo)
You're fairly sure you don't have enough skill to reel this one in.${prompt};Vous êtes presque sûr de ne pas avoir assez de compétences pour attraper celui-ci.${prompt}
Remove all apertures?;Supprimer toutes les ouvertures ?
They just keep coming, don't they?${prompt};Ils continuent à venir, n'est-ce pas ?${prompt}
2nd: Bastok;2e : Bastok
Time sure does fly when you're having fun.${prompt};Le temps passe vite quand on s'amuse.${prompt}
Enemy: Monsters of any family.;Ennemi : Les monstres de toute famille.
Weapon Skill: Impulse Drive;Compétence d'arme : Impulsion
Keenly observe the flow of elements to prevent ${icon: wind}-based explosions.;Observez attentivement le flux des éléments pour éviter${icon: wind}-explosions à base de
${color-alt: 121}Your claim to the synergy furnace has been relinquished.;${color-alt: 121}Votre droit au four synergétique a été abandonné.
This is getting borrring...${prompt};Ça devient ennuyeux...${prompt}
Are we done already!?;Avons-nous déjà fini !?
One more battle ought to do it.${prompt};Une bataille supplémentaire devrait suffire.${prompt}
${color-alt: 15}${choice: 0}[Durib/Dzapiwa/Jugowa/Mugido/Voldai/Wagwei/Zayag/Zoldof] appears frightened by the ${item-singular: 1[2]}.${prompt};${color-alt: 15}${choice: 0}[Durib/Dzapiwa/Jugowa/Mugido/Voldai/Wagwei/Zayag/Zoldof] semble effrayé par le${item-singular: 1[2]}${prompt}
