Phrase en Anglais;Phrase en Français
Tallying conquest results...${prompt};Comptabilisation des résultats de la conquête...${prompt}
Conquest results tallied.${prompt};Résultats de la conquête comptabilisés.${prompt}
This region is currently under San d'Orian control.${prompt};Cette région est actuellement sous contrôle de San d'Oria.${prompt}
This region is currently under Bastokan control.${prompt};Cette région est actuellement sous contrôle de Bastok.${prompt}
This region is currently under Windurstian control.${prompt};Cette région est actuellement sous contrôle de Windurst.${prompt}
This region is currently under beastman control.;Cette région est actuellement sous contrôle des hommes-bêtes.
You cannot obtain crystals in this region.${prompt};Vous ne pouvez pas obtenir de cristaux dans cette région.${prompt}
This region is currently neutral.${prompt};Cette région est actuellement neutre.${prompt}
Global balance of power:;Équilibre global des pouvoirs :
1st: San d'Oria;1er : San d'Oria
2nd: Windurst;2e : Windurst
3rd: Bastok${prompt};3e : Bastok${prompt}
All three nations are tied for first place.${prompt};Les trois nations sont à égalité à la première place.${prompt}
Global balance of power:;Équilibre global des pouvoirs :
1st: San d'Oria and Windurst (tie);1er : San d'Oria et Windurst (égalité)
3rd: Bastok${prompt};3e : Bastok${prompt}
Global balance of power:;Équilibre global des pouvoirs :
1st: San d'Oria;1er : San d'Oria
2nd: Bastok and Windurst (tie)${prompt};2e : Bastok et Windurst (égalité)${prompt}
Global balance of power:;Équilibre global des pouvoirs :
1st: San d'Oria;1er : San d'Oria
2nd: Bastok;2e : Bastok
3rd: Windurst${prompt};3e : Windurst${prompt}
All three nations are tied for first place.${prompt};Les trois nations sont à égalité à la première place.${prompt}
Global balance of power:;Équilibre global des pouvoirs :
1st: San d'Oria and Bastok (tie);1er : San d'Oria et Bastok (égalité)
3rd: Windurst${prompt};3e : Windurst${prompt}
Global balance of power:;Équilibre global des pouvoirs :
1st: San d'Oria;1er : San d'Oria
2nd: Bastok and Windurst (tie)${prompt};2e : Bastok et Windurst (égalité)${prompt}
Global balance of power:;Équilibre global des pouvoirs :
1st: Bastok;1er : Bastok
2nd: San d'Oria;2e : San d'Oria
3rd: Windurst${prompt};3e : Windurst${prompt}
All three nations are tied for first place.${prompt};Les trois nations sont à égalité à la première place.${prompt}
Global balance of power:;Équilibre global des pouvoirs :
1st: San d'Oria and Bastok (tie);1er : San d'Oria et Bastok (égalité)
3rd: Windurst${prompt};3e : Windurst${prompt}
Global balance of power:;Équilibre global des pouvoirs :
1st: Bastok;1er : Bastok
2nd: San d'Oria and Windurst (tie)${prompt};2e : San d'Oria et Windurst (égalité)${prompt}
Global balance of power:;Équilibre global des pouvoirs :
1st: Bastok;1er : Bastok
2nd: Windurst;2e : Windurst
3rd: San d'Oria${prompt};3e : San d'Oria${prompt}
All three nations are tied for first place.${prompt};Les trois nations sont à égalité à la première place.${prompt}
Global balance of power:;Équilibre global des pouvoirs :
1st: Bastok and Windurst (tie);1er : Bastok et Windurst (égalité)
3rd: San d'Oria${prompt};3e : San d'Oria${prompt}
Global balance of power:;Équilibre global des pouvoirs :
1st: Bastok;1er : Bastok
2nd: San d'Oria and Windurst (tie)${prompt};2e : San d'Oria et Windurst (égalité)${prompt}
Global balance of power:;Équilibre global des pouvoirs :
1st: Windurst;1er : Windurst
2nd: San d'Oria;2e : San d'Oria
3rd: Bastok${prompt};3e : Bastok${prompt}
Global balance of power:;Équilibre global des pouvoirs :
All three nations are tied for first place.${prompt};Les trois nations sont à égalité à la première place.${prompt}
Global balance of power:;Équilibre global des pouvoirs :
1st: San d'Oria and Windurst (tie);1er : San d'Oria et Windurst (égalité)
3rd: Bastok${prompt};3e : Bastok${prompt}
Global balance of power:;Équilibre global des pouvoirs :
1st: Windurst;1er : Windurst
2nd: San d'Oria and Bastok (tie)${prompt};2e : San d'Oria et Bastok (égalité)${prompt}
Global balance of power:;Équilibre global des pouvoirs :
1st: Windurst;1er : Windurst
2nd: Bastok;2e : Bastok
3rd: San d'Oria${prompt};3e : San d'Oria${prompt}
All three nations are tied for first place.${prompt};Les trois nations sont à égalité à la première place.${prompt}
Global balance of power:;Équilibre global des pouvoirs :
1st: Bastok and Windurst;1er : Bastok et Windurst
2nd: San d'Oria${prompt};2e : San d'Oria${prompt}
Global balance of power:;Équilibre global des pouvoirs :
1st: Windurst;1er : Windurst
2nd: San d'Oria and Bastok${prompt};2e : San d'Oria et Bastok${prompt}
Conquest update:;Mise à jour de la conquête :
This region is currently neutral.${prompt};Cette région est actuellement neutre.${prompt}
Conquest update:;Mise à jour de la conquête :
This region is currently under San d'Orian control.${prompt};Cette région est actuellement sous contrôle de San d'Oria.${prompt}
Conquest update:;Mise à jour de la conquête :
This region is currently under Bastokan control.${prompt};Cette région est actuellement sous contrôle de Bastok.${prompt}
Conquest update:;Mise à jour de la conquête :
This region is currently under Windurstian control.${prompt};Cette région est actuellement sous contrôle de Windurst.${prompt}
Conquest update:;Mise à jour de la conquête :
This region is currently under beastman control.;Cette région est actuellement sous contrôle des hommes-bêtes.
You cannot obtain crystals in this region.${prompt};Vous ne pouvez pas obtenir de cristaux dans cette région.${prompt}
All three nations are at a deadlock.${prompt};Les trois nations sont dans une impasse totale.${prompt}
The beastmen are on the rise.${prompt};Les hommes-bêtes sont en plein essor.${prompt}
Regional influence:;Influence régionale :
San d'Oria - Dominant${prompt};San d'Oria - Dominante${prompt}
Regional influence:;Influence régionale :
San d'Oria - Major${prompt};San d'Oria - Majeure${prompt}
Regional influence:;Influence régionale :
San d'Oria - Minor${prompt};San d'Oria - Mineure${prompt}
Regional influence:;Influence régionale :
San d'Oria - Minimal${prompt};San d'Oria - Minimale${prompt}
Bastok - Dominant${prompt};Bastok - Dominante${prompt}
Bastok - Major${prompt};Bastok - Majeure${prompt}
Bastok - Minor${prompt};Bastok - Mineure${prompt}
Bastok - Minimal${prompt};Bastok - Minimale${prompt}
Windurst - Dominant${prompt};Windurst - Dominante${prompt}
Windurst - Major${prompt};Windurst - Majeure${prompt}
Windurst - Minor${prompt};Windurst - Mineure${prompt}
Windurst - Minimal${prompt};Windurst - Minimale${prompt}
Bastok and Windurst have formed an alliance.${prompt};Bastok et Windurst ont formé une alliance.${prompt}
San d'Oria and Windurst have formed an alliance.${prompt};San d'Oria et Windurst ont formé une alliance.${prompt}
San d'Oria and Bastok have formed an alliance.${prompt};San d'Oria et Bastok ont formé une alliance.${prompt}
Bastok and Windurst are currently allies.${prompt};Bastok et Windurst sont actuellement alliés.${prompt}
San d'Oria and Windurst are currently allies.${prompt};San d'Oria et Windurst sont actuellement alliés.${prompt}
San d'Oria and Bastok are currently allies.${prompt};San d'Oria et Bastok sont actuellement alliés.${prompt}
所属国：${number: 0};所属国：${number: 0}
判定：${number: 1}${prompt};判定：${number: 1}${prompt}
装備チェック：${number: 0};装備チェック：${number: 0}
アイテム：${item-singular: 2[2]};アイテム：${item-singular: 2[2]}
引くポイント：${number: 3}${prompt};引くポイント：${number: 3}${prompt}
ITEM_ID:${number: 2};ITEM_ID:${number: 2}
希望商品番号:${number: 3}${prompt};希望商品番号:${number: 3}${prompt}
希望商品番号:${number: 0};希望商品番号:${number: 0}
引くポイント:${number: 1}${prompt};引くポイント:${number: 1}${prompt}
The beastmen are gaining power.${prompt};Les hommes-bêtes gagnent en puissance.${prompt}
San d'Oria's regional control is now 10% closer to the first place country's!${prompt};Le contrôle régional de San d'Oria est maintenant 10 % plus proche de celui du premier pays !${prompt}
Bastok's regional control is now 10% closer to the first place country's!${prompt};Le contrôle régional de Bastok est maintenant 10 % plus proche de celui du premier pays !${prompt}
Windurst's regional control are now 10% closer to the first place country's!${prompt};Le contrôle régional de Windurst est maintenant 10 % plus proche de celui du premier pays !${prompt}
San d'Oria's region points have increased!${prompt};Les points de région de San d'Oria ont augmenté !${prompt}
Bastok's region points have increased!${prompt};Les points de région de Bastok ont augmenté !${prompt}
Windurst's region points have increased!${prompt};Les points de région de Windurst ont augmenté !${prompt}
San d'Orian E.F. defeats beastmen hordes... Maintain current momentum.${prompt};La F.E. de San d'Oria défait les hordes d'hommes-bêtes... Maintenir l'élan actuel.${prompt}
Bastokan E.F. defeats beastmen hordes...Maintain current momentum.${prompt};La F.E. de Bastok défait les hordes d'hommes-bêtes... Maintenir l'élan actuel.${prompt}
Windurstian E.F. defeats beastmen hordes...Maintain current momentum.${prompt};La F.E. de Windurst défait les hordes d'hommes-bêtes... Maintenir l'élan actuel.${prompt}
A San d'Orian Expeditionary Force has been dispatched to this area.${prompt};Une Force Expéditionnaire de San d'Oria a été dépêchée dans cette zone.${prompt}
A Bastokan Expeditionary Force has been dispatched to this area.${prompt};Une Force Expéditionnaire de Bastok a été dépêchée dans cette zone.${prompt}
A Windurstian Expeditionary Force has been dispatched to this area.${prompt};Une Force Expéditionnaire de Windurst a été dépêchée dans cette zone.${prompt}
E.F. Influence: Great...Region Status: Dominant...Maintain current level of combat.${prompt};Influence de la F.E. : Grande...Statut de la région : Dominante...Maintenir le niveau de combat actuel.${prompt}
E.F. Influence: Fair...Region Status: Major...Maintain momentum.${prompt};Influence de la F.E. : Moyenne...Statut de la région : Majeure...Maintenir l’élan.${prompt}
E.F. Influence: Poor...Region Status: Minor...Increase efforts.${prompt};Influence de la F.E. : Faible...Statut de la région : Mineure...Accroître les efforts.${prompt}
E.F. Influence: Minimal...Region Status: Minimal...Increase efforts tenfold.${prompt};Influence de la F.E. : Minimale...Statut de la région : Minimale...Accroître les efforts de dix fois.${prompt}
E.F. Influence: None...Region Status: Under beastman control...Keep losses to minimum.${prompt};Influence de la F.E. : Aucune...Statut de la région : Sous le contrôle des hommes-bêtes...Limiter les pertes au minimum.${prompt}
There was a curse on the beastmen's banner!${prompt};Il y avait une malédiction sur la bannière des hommes-bêtes !${prompt}
The curse of the beastmen's banner has been lifted!${prompt};La malédiction de la bannière des hommes-bêtes a été levée !${prompt}
There is a beastmen's banner.${prompt};Il y a une bannière des hommes-bêtes.${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
${prompt};${prompt}
遠征先リージョンナンバー　${number: 0};遠征先リージョンナンバー　${number: 0}
現在のリージョンナンバー　${number: 1}${prompt};現在のリージョンナンバー　${number: 1}${prompt}
増えたポイント　${number: 0};増えたポイント　${number: 0}
増えたカウント　${number: 1}${prompt};増えたカウント　${number: 1}${prompt}
