Phrase en Anglais;Phrase en Français
You can set this as your current home point.;
Once you set a home point, you will return there whenever you are incapacitated.;
Set this as current home point?;
${selection-lines};
Yes.;Oui.
No.${prompt};Non.${prompt}
Home point set!${prompt};
A home point can be set as a spot for you to return to Vana'diel when you have been knocked out. You can also use a home point to teleport to other home points.;
What will you do?;
${selection-lines};
Travel to another home point.;
Set this as your home point.;
Other settings.;
On second thought, never mind.${prompt};
You have registered a new home point!;
You are now able to teleport here from any other home point.${prompt};
You may teleport from here to any other home point you have registered.;
Teleport where?;
${selection-lines};
Never mind.;
${zone: 1[2]}.;
${zone: 2[2]}.;
${zone: 3[2]}.;
${zone: 4[2]}.;
${zone: 5[2]}.;
${zone: 6[2]}.;
${zone: 7[2]}.;
${zone: 8[2]}.;
${zone: 9[2]}.;
${zone: 10[2]}.;
${zone: 11[2]}.;
${zone: 12[2]}.;
${zone: 13[2]}.;
${zone: 14[2]}.;
${zone: 15[2]}.;
${zone: 16[2]}.;
Previous page.;
Next page.${prompt};Page suivante.${prompt}
Teleport where?（${zone: 33[2]}）;
${selection-lines};
Nowhere.;
Home Point #1${choice: 1}[/ (M)/ (A)/ (E)].;
Home Point #2${choice: 2}[/ (M)/ (A)/ (E)].;
Home Point #3${choice: 3}[/ (M)/ (A)/ (E)].;
Home Point #4${choice: 4}[/ (M)/ (A)/ (E)].;
Home Point #5${choice: 5}[/ (M)/ (A)/ (E)].${prompt};
You have not yet registered any other home points, and thus are unable to teleport.${prompt};
It costs ${number: 3} gil to teleport to Home Point #${number: 2} in ${zone: 1[2]}.;
There is no fee for teleporting to Home Point #${number: 2} in ${zone: 1[2]}.;
${selection-lines};
${choice: 33}[Add to favorites/Remove from favorites].;
Yes, please.;
No, thank you.${prompt};
Teleport to which region?;
${selection-lines};
On second thought, none.;
Select from favorites.;
Current region.;
${choice: 1}[San d'Oria/Movalpolos].;
${choice: 1}[Bastok/Tavnazian Arch].;
${choice: 1}[Windurst/Lumoria].;
${choice: 1}[Jeuno/Mamool Ja Savage].;
${choice: 1}[Tavnazia/Halvung].;
${choice: 1}[West. Aht Urhgan/Arrapago Is].;
${choice: 1}[Adoulin Isles/Ruins of Alzadaal].;
${choice: 1}[Ronfaure/Ronfaure Front].;
${choice: 1}[Zulkheim/Norvallen Front].;
${choice: 1}[Norvallen/Gustaberg Front].;
${choice: 1}[Gustaberg/Derfland Front].;
${choice: 1}[Derfland/Sarutabaruta Front].;
${choice: 1}[Sarutabaruta/Aragoneu Front].;
${choice: 1}[Kolshushu/Fauregandi Front].;
${choice: 1}[Aragoneu/Valdeaunia Front].;
${choice: 1}[Fauregandi/East. Ulbuka].;
${choice: 1}[Valdeaunia/Ra'Kaznar].;
${choice: 1}[Qufim/].;
${choice: 1}[Li'Telor/].;
${choice: 1}[Kuzotz/].;
${choice: 1}[Vollbow/].;
${choice: 1}[Elshimo Low/].;
${choice: 1}[Elshimo Up/].;
${choice: 1}[Tu'Lia/].;
Previous page.;
Next page.${prompt};Page suivante.${prompt}
Teleport where?;
${selection-lines};
None of these.;
A favorited location.;
An original area.;
A Rise of the Zilart area.;
A Chains of Promathia area.;
A Treasures of Aht Urhgan area.;
A Wings of the Goddess area.;
A Seekers of Adoulin area.${prompt};
You may change the method of selecting the area of your desired home point to teleport to.;
Which setting would you like?;
${selection-lines};
My current setting.;
Select by region.;
Select by expansion.${prompt};
You are now selecting by ${choice: 1}[region/expansion].;
Teleport where?;
${selection-lines};
None of these.;
${zone: 1[2]} #${number: 17}.;
${zone: 2[2]} #${number: 18}.;
${zone: 3[2]} #${number: 19}.;
${zone: 4[2]} #${number: 20}.;
${zone: 5[2]} #${number: 21}.;
${zone: 6[2]} #${number: 22}.;
${zone: 7[2]} #${number: 23}.;
${zone: 8[2]} #${number: 24}.;
${zone: 9[2]} #${number: 25}.;
${choice: 33}[Add to favorites/Remove from favorites].${prompt};
Home Point #${number: 2} in ${zone: 1[2]} has been ${choice: 33}[registered to/removed from] your list of favorite locations.;
Your list of favorite locations is full. You must delete an existing entry in order to register a new one.;
Delete which?;
${selection-lines};
None of these.;
${zone: 1[2]} #${number: 17}.;
${zone: 2[2]} #${number: 18}.;
${zone: 3[2]} #${number: 19}.;
${zone: 4[2]} #${number: 20}.;
${zone: 5[2]} #${number: 21}.;
${zone: 6[2]} #${number: 22}.;
${zone: 7[2]} #${number: 23}.;
${zone: 8[2]} #${number: 24}.;
${zone: 9[2]} #${number: 25}.${prompt};
