Phrase en Anglais;Phrase en Français
${color-alt: 161}A mog tablet has been discovered in ${choice: 0}[West Ronfaure/East Ronfaure/the La Theine Plateau/the Valkurm Dunes/Jugner Forest/the Batallia Downs/North Gustaberg/South Gustaberg/the Konschtat Highlands/the Pashhow Marshlands/the Rolanberry Fields/Beaucedine Glacier/Xarcabard/West Sarutabaruta/East Sarutabaruta/the Tahrongi Canyon/the Buburimu Peninsula/the Meriphataud Mountains/the Sauromugue Champaign/Qufim Island/Behemoth's Dominion/Cape Teriggan/the Eastern Altepa Desert/the Sanctuary of Zi'Tah/Ro'Maeve/the Yuhtunga Jungle/the Yhoator Jungle/the Western Altepa Desert/the Valley of Sorrows]!;${color-alt: 161}A mog tablet has been discovered in ${choice: 0}[West Ronfaure/East Ronfaure/the La Theine Plateau/the Valkurm Dunes/Jugner Forest/the Batallia Downs/North Gustaberg/South Gustaberg/the Konschtat Highlands/the Pashhow Marshlands/the Rolanberry Fields/Beaucedine Glacier/Xarcabard/West Sarutabaruta/East Sarutabaruta/the Tahrongi Canyon/the Buburimu Peninsula/the Meriphataud Mountains/the Sauromugue Champaign/Qufim Island/Behemoth's Dominion/Cape Teriggan/the Eastern Altepa Desert/the Sanctuary of Zi'Tah/Ro'Maeve/the Yuhtunga Jungle/the Yhoator Jungle/the Western Altepa Desert/the Valley of Sorrows]!
${color-alt: 161}The complete set of mog tablets has been restored to Ru'Lude Gardens!;${color-alt: 161}The complete set of mog tablets has been restored to Ru'Lude Gardens!
The ancient magic of King Kupofried permeates the air to instill adventurers in this area with its Super Kupowers!;The ancient magic of King Kupofried permeates the air to instill adventurers in this area with its Super Kupowers!
${color-alt: 161}The strength of the ancient moogle magic has weakened, and the tablets have been scattered to the winds once more.;${color-alt: 161}The strength of the ancient moogle magic has weakened, and the tablets have been scattered to the winds once more.
You can feel your Super Kupowers begin to fade away...;You can feel your Super Kupowers begin to fade away...
${color-alt: 161}This area is currently affected by the Super Kupower: “Thrifty Transit”!;${color-alt: 161}This area is currently affected by the Super Kupower: “Thrifty Transit”!
${color-alt: 161}This area is currently affected by the Super Kupower: “Martial Master”!;${color-alt: 161}This area is currently affected by the Super Kupower: “Martial Master”!
${color-alt: 161}This area is currently affected by the Super Kupower: “Blood of the Vampyr”!;${color-alt: 161}This area is currently affected by the Super Kupower: “Blood of the Vampyr”!
${color-alt: 161}This area is currently affected by the Super Kupower: “Treasure Hound”!;${color-alt: 161}This area is currently affected by the Super Kupower: “Treasure Hound”!
${color-alt: 161}This area is currently affected by the Super Kupower: “Artisan's Advantage”!;${color-alt: 161}This area is currently affected by the Super Kupower: “Artisan's Advantage”!
${color-alt: 161}This area is currently affected by the Super Kupower: “Mystery Boxes: San d'Oria”!;${color-alt: 161}This area is currently affected by the Super Kupower: “Mystery Boxes: San d'Oria”!
${color-alt: 161}This area is currently affected by the Super Kupower: “Mystery Boxes: Bastok”!;${color-alt: 161}This area is currently affected by the Super Kupower: “Mystery Boxes: Bastok”!
${color-alt: 161}This area is currently affected by the Super Kupower: “Mystery Boxes: Windurst”!;${color-alt: 161}This area is currently affected by the Super Kupower: “Mystery Boxes: Windurst”!
${color-alt: 161}This area is currently affected by the Super Kupower: “Mystery Boxes: Frontier Lands”!;${color-alt: 161}This area is currently affected by the Super Kupower: “Mystery Boxes: Frontier Lands”!
${color-alt: 161}This area is currently affected by the Super Kupower: “Swift Shoes”!;${color-alt: 161}This area is currently affected by the Super Kupower: “Swift Shoes”!
${color-alt: 161}This area is currently affected by the Super Kupower: “Crystal Caboodle”!;${color-alt: 161}This area is currently affected by the Super Kupower: “Crystal Caboodle”!
${color-alt: 161}The ancient magic of King Kupofried fills the air, its glorious Super Kupowers bringing happiness and joy to the realm!;${color-alt: 161}The ancient magic of King Kupofried fills the air, its glorious Super Kupowers bringing happiness and joy to the realm!
Visit the Explorer Moogle in Ru'Lude Gardens to find out more.;Visit the Explorer Moogle in Ru'Lude Gardens to find out more.
${color-alt: 161}This area is currently affected by the Super Kupower: “${choice: 0}[/Thrifty Transit/Martial Master/Blood of the Vampyr/Treasure Hound/Artisan's Advantage/Mystery Boxes: San d'Oria/Mystery Boxes: Bastok/Mystery Boxes: Windurst/Mystery Boxes: Frontier Lands/Swift Shoes/Crystal Caboodle]”!;${color-alt: 161}This area is currently affected by the Super Kupower: “${choice: 0}[/Thrifty Transit/Martial Master/Blood of the Vampyr/Treasure Hound/Artisan's Advantage/Mystery Boxes: San d'Oria/Mystery Boxes: Bastok/Mystery Boxes: Windurst/Mystery Boxes: Frontier Lands/Swift Shoes/Crystal Caboodle]”!
This area is currently affected by the Super Kupower: “${choice: 1}[/Thrifty Transit/Martial Master/Blood of the Vampyr/Treasure Hound/Artisan's Advantage/Mystery Boxes: San d'Oria/Mystery Boxes: Bastok/Mystery Boxes: Windurst/Mystery Boxes: Frontier Lands/Swift Shoes/Crystal Caboodle]”!;This area is currently affected by the Super Kupower: “${choice: 1}[/Thrifty Transit/Martial Master/Blood of the Vampyr/Treasure Hound/Artisan's Advantage/Mystery Boxes: San d'Oria/Mystery Boxes: Bastok/Mystery Boxes: Windurst/Mystery Boxes: Frontier Lands/Swift Shoes/Crystal Caboodle]”!
This area is currently affected by the Super Kupower: “${choice: 2}[/Thrifty Transit/Martial Master/Blood of the Vampyr/Treasure Hound/Artisan's Advantage/Mystery Boxes: San d'Oria/Mystery Boxes: Bastok/Mystery Boxes: Windurst/Mystery Boxes: Frontier Lands/Swift Shoes/Crystal Caboodle]”!;This area is currently affected by the Super Kupower: “${choice: 2}[/Thrifty Transit/Martial Master/Blood of the Vampyr/Treasure Hound/Artisan's Advantage/Mystery Boxes: San d'Oria/Mystery Boxes: Bastok/Mystery Boxes: Windurst/Mystery Boxes: Frontier Lands/Swift Shoes/Crystal Caboodle]”!
The synergy furnace is currently claimed.${prompt};The synergy furnace is currently claimed.${prompt}
Claim usage of the furnace?;Claim usage of the furnace?
${selection-lines};${selection-lines}
Yes.;Yes.
No.${prompt};No.${prompt}
Your claim over the synergy furnace will expire in ten seconds.;Your claim over the synergy furnace will expire in ten seconds.
${lettercase: 1}${keyitem-singular: 0[2]} set. You now have claim over the synergy furnace.;${lettercase: 1}${keyitem-singular: 0[2]} set. You now have claim over the synergy furnace.
Please deposit your ingredients inside the furnace and initiate the synergy process within ${number: 1} minute${choice-plurality: 1}[/s].${prompt};Please deposit your ingredients inside the furnace and initiate the synergy process within ${number: 1} minute${choice-plurality: 1}[/s].${prompt}
Please be aware that certain items are not suitable for use as synergy ingredients.${prompt};Please be aware that certain items are not suitable for use as synergy ingredients.${prompt}
You currently have claim over the synergy furnace.;You currently have claim over the synergy furnace.
Please deposit your ingredients inside the furnace and initiate the synergy process.${prompt};Please deposit your ingredients inside the furnace and initiate the synergy process.${prompt}
The synergy furnace is currently in use by ${player: 1}.${prompt};The synergy furnace is currently in use by ${player: 1}.${prompt}
The synergy furnace is currently in use by ${player: 2}.${prompt};The synergy furnace is currently in use by ${player: 2}.${prompt}
The synergy furnace is currently in use by ${player: 3}.${prompt};The synergy furnace is currently in use by ${player: 3}.${prompt}
The synergy furnace is currently in use by ${player: 4}.${prompt};The synergy furnace is currently in use by ${player: 4}.${prompt}
The synergy furnace is currently in use by ${player: 5}.${prompt};The synergy furnace is currently in use by ${player: 5}.${prompt}
${number: 0} ${choice-plurality: 1}[minute has/minutes have] elapsed.;${number: 0} ${choice-plurality: 1}[minute has/minutes have] elapsed.
Your claim over the synergy furnace has expired.${prompt};Your claim over the synergy furnace has expired.${prompt}
A member of your party already has claim over the synergy furnace.;A member of your party already has claim over the synergy furnace.
Possession of ${keyitem-article: 0[2]} is required to use a synergy furnace.${prompt};Possession of ${keyitem-article: 0[2]} is required to use a synergy furnace.${prompt}
Unable to claim usage.;Unable to claim usage.
The synergy furnace is currently in use by ${player: 1}.;The synergy furnace is currently in use by ${player: 1}.
Unable to claim usage.;Unable to claim usage.
The synergy furnace is currently in use by ${player: 2}.;The synergy furnace is currently in use by ${player: 2}.
Unable to claim usage.;Unable to claim usage.
The synergy furnace is currently in use by ${player: 3}.;The synergy furnace is currently in use by ${player: 3}.
Unable to claim usage.;Unable to claim usage.
The synergy furnace is currently in use by ${player: 4}.;The synergy furnace is currently in use by ${player: 4}.
Unable to claim usage.;Unable to claim usage.
The synergy furnace is currently in use by ${player: 5}.;The synergy furnace is currently in use by ${player: 5}.
You have lost your eligibility to use the synergy furnace.;You have lost your eligibility to use the synergy furnace.
The claim holding party member has left the party or the area.${prompt};The claim holding party member has left the party or the area.${prompt}
You have regained your eligibility to use the synergy furnace.${prompt};You have regained your eligibility to use the synergy furnace.${prompt}
Unable to proceed.;Unable to proceed.
Possession of ${keyitem-article: 0[2]} is required to commence synergy.${prompt};Possession of ${keyitem-article: 0[2]} is required to commence synergy.${prompt}
Unable to proceed.;Unable to proceed.
${lettercase: 1}${item-plural: 0[2]} are not suitable for use as synergy ingredients.${prompt};${lettercase: 1}${item-plural: 0[2]} are not suitable for use as synergy ingredients.${prompt}
A synergy recipe does not exist for that combination of materials.${prompt};A synergy recipe does not exist for that combination of materials.${prompt}
That recipe is impossible at your synergy skill level.${prompt};That recipe is impossible at your synergy skill level.${prompt}
That recipe is impossible at your ${choice: 0}[fishing/woodworking/smithing/goldsmithing/clothcraft/leathercraft/bonecraft/alchemy/cooking] skill level.${prompt};That recipe is impossible at your ${choice: 0}[fishing/woodworking/smithing/goldsmithing/clothcraft/leathercraft/bonecraft/alchemy/cooking] skill level.${prompt}
Element and target value:;Element and target value:
${choice: 0}[${icon: fire}/${icon: ice}/${icon: wind}/${icon: earth}/${icon: lightning}/${icon: water}/${icon: light}/${icon: dark}]${number: 1};${choice: 0}[${icon: fire}/${icon: ice}/${icon: wind}/${icon: earth}/${icon: lightning}/${icon: water}/${icon: light}/${icon: dark}]${number: 1}
Elements and target values:;Elements and target values:
