Phrase en Anglais;Phrase en Français
${color-alt: 161}A mog tablet has been discovered in ${choice: 0}[West Ronfaure/East Ronfaure/the La Theine Plateau/the Valkurm Dunes/Jugner Forest/the Batallia Downs/North Gustaberg/South Gustaberg/the Konschtat Highlands/the Pashhow Marshlands/the Rolanberry Fields/Beaucedine Glacier/Xarcabard/West Sarutabaruta/East Sarutabaruta/the Tahrongi Canyon/the Buburimu Peninsula/the Meriphataud Mountains/the Sauromugue Champaign/Qufim Island/Behemoth's Dominion/Cape Teriggan/the Eastern Altepa Desert/the Sanctuary of Zi'Tah/Ro'Maeve/the Yuhtunga Jungle/the Yhoator Jungle/the Western Altepa Desert/the Valley of Sorrows]!;
${color-alt: 161}The complete set of mog tablets has been restored to Ru'Lude Gardens!;${color-alt: 161}L'ensemble complet des tablettes Mog a été restauré dans les jardins de Ru'Lude !
The ancient magic of King Kupofried permeates the air to instill adventurers in this area with its Super Kupowers!;
${color-alt: 161}The strength of the ancient moogle magic has weakened, and the tablets have been scattered to the winds once more.;${color-alt: 161}La force de l'ancienne magie moogle s'est affaiblie et les tablettes ont été à nouveau dispersées aux quatre vents.
You can feel your Super Kupowers begin to fade away...;Vous pouvez sentir vos Super Kupowers commencer à s'estomper...
${color-alt: 161}This area is currently affected by the Super Kupower: “Thrifty Transit”!;
${color-alt: 161}This area is currently affected by the Super Kupower: “Martial Master”!;${color-alt: 161}Cette zone est actuellement affectée par le Super Kupower : « Maître Martial » !
${color-alt: 161}This area is currently affected by the Super Kupower: “Blood of the Vampyr”!;${color-alt: 161}Cette zone est actuellement affectée par le Super Kupower : « Le Sang du Vampyr » !
${color-alt: 161}This area is currently affected by the Super Kupower: “Treasure Hound”!;${color-alt: 161}Cette zone est actuellement affectée par le Super Kupower : « Treasure Hound » !
${color-alt: 161}This area is currently affected by the Super Kupower: “Artisan's Advantage”!;${color-alt: 161}Cette zone est actuellement affectée par le Super Kupower : « L'avantage de l'artisan » !
${color-alt: 161}This area is currently affected by the Super Kupower: “Myriad Mystery Boxes”!;${color-alt: 161}Cette zone est actuellement concernée par le Super Kupower : « Myriad Mystery Boxes » !
