Phrase en Anglais;Phrase en Français
Tallying conquest results...${prompt};Décompte des résultats de la conquête...${prompt}
Conquest results tallied.${prompt};Résultats de la conquête comptabilisés.${prompt}
This region is currently under San d'Orian control.${prompt};Cette région est actuellement sous contrôle de San d'Oria.${prompt}
This region is currently under Bastokan control.${prompt};Cette région est actuellement sous contrôle de Bastok.${prompt}
This region is currently under Windurstian control.${prompt};Cette région est actuellement sous contrôle de Windurst.${prompt}
This region is currently under beastman control.;Cette région est actuellement sous contrôle des hommes-bêtes.
You cannot obtain crystals in this region.${prompt};Vous ne pouvez pas obtenir de cristaux dans cette région.${prompt}
This region is currently neutral.${prompt};Cette région est actuellement neutre.${prompt}
Global balance of power:;Équilibre global des pouvoirs :
1st: San d'Oria;1er : San d'Oria
2nd: Windurst;2e : Windurst
3rd: Bastok${prompt};3e : Bastok${prompt}
All three nations are tied for first place.${prompt};Les trois nations sont à égalité pour la première place.${prompt}
Global balance of power:;Équilibre global des pouvoirs :
1st: San d'Oria and Windurst (tie);1er : San d'Oria et Windurst (égalité)
3rd: Bastok${prompt};3e : Bastok${prompt}
Global balance of power:;Équilibre global des pouvoirs :
1st: San d'Oria;1er : San d'Oria
2nd: Bastok and Windurst (tie)${prompt};2e : Bastok et Windurst (égalité)${prompt}
Global balance of power:;Équilibre global des pouvoirs :
1st: San d'Oria;1er : San d'Oria
2nd: Bastok;2e : Bastok
3rd: Windurst${prompt};3e : Windurst${prompt}
All three nations are tied for first place.${prompt};Les trois nations sont à égalité pour la première place.${prompt}
Global balance of power:;Équilibre global des pouvoirs :
1st: San d'Oria and Bastok (tie);1er : San d'Oria et Bastok (égalité)
3rd: Windurst${prompt};3e : Windurst${prompt}
Global balance of power:;Équilibre global des pouvoirs :
1st: San d'Oria;1er : San d'Oria
2nd: Bastok and Windurst (tie)${prompt};2e : Bastok et Windurst (égalité)${prompt}
Global balance of power:;Équilibre global des pouvoirs :
1st: Bastok;1er : Bastok
2nd: San d'Oria;2e : San d'Oria
3rd: Windurst${prompt};3e : Windurst${prompt}
All three nations are tied for first place.${prompt};Les trois nations sont à égalité pour la première place.${prompt}
Global balance of power:;Équilibre global des pouvoirs :
1st: San d'Oria and Bastok (tie);1er : San d'Oria et Bastok (égalité)
3rd: Windurst${prompt};3e : Windurst${prompt}
Global balance of power:;Équilibre global des pouvoirs :
1st: Bastok;1er : Bastok
2nd: San d'Oria and Windurst (tie)${prompt};2e : San d'Oria et Windurst (égalité)${prompt}
Global balance of power:;Équilibre global des pouvoirs :
1st: Bastok;1er : Bastok
2nd: Windurst;2e : Windurst
3rd: San d'Oria${prompt};3e : San d'Oria${prompt}
All three nations are tied for first place.${prompt};Les trois nations sont à égalité pour la première place.${prompt}
Global balance of power:;Équilibre global des pouvoirs :
1st: Bastok and Windurst (tie);1er : Bastok et Windurst (égalité)
3rd: San d'Oria${prompt};3e : San d'Oria${prompt}
Global balance of power:;Équilibre global des pouvoirs :
1st: Bastok;1er : Bastok
2nd: San d'Oria and Windurst (tie)${prompt};2e : San d'Oria et Windurst (égalité)${prompt}
Global balance of power:;Équilibre global des pouvoirs :
1st: Windurst;1er : Windurst
2nd: San d'Oria;2e : San d'Oria
3rd: Bastok${prompt};3e : Bastok${prompt}
Global balance of power:;Équilibre global des pouvoirs :
All three nations are tied for first place.${prompt};Les trois nations sont à égalité pour la première place.${prompt}
Global balance of power:;Équilibre global des pouvoirs :
1st: San d'Oria and Windurst (tie);1er : San d'Oria et Windurst (égalité)
3rd: Bastok${prompt};3e : Bastok${prompt}
Global balance of power:;Équilibre global des pouvoirs :
1st: Windurst;1er : Windurst
2nd: San d'Oria and Bastok (tie)${prompt};2e : San d'Oria et Bastok (égalité)${prompt}
Global balance of power:;Équilibre global des pouvoirs :
1st: Windurst;1er : Windurst
2nd: Bastok;2e : Bastok
3rd: San d'Oria${prompt};3e : San d'Oria${prompt}
All three nations are tied for first place.${prompt};Les trois nations sont à égalité pour la première place.${prompt}
Global balance of power:;Équilibre global des pouvoirs :
1st: Bastok and Windurst;1er : Bastok et Windurst
2nd: San d'Oria${prompt};2e : San d'Oria${prompt}
Global balance of power:;Équilibre global des pouvoirs :
1st: Windurst;1er : Windurst
2nd: San d'Oria and Bastok${prompt};2e : San d'Oria et Bastok${prompt}
Conquest update:;Mise à jour de la conquête :
This region is currently neutral.${prompt};Cette région est actuellement neutre.${prompt}
Conquest update:;Mise à jour de la conquête :
This region is currently under San d'Orian control.${prompt};Cette région est actuellement sous contrôle de San d'Oria.${prompt}
Conquest update:;Mise à jour de la conquête :
This region is currently under Bastokan control.${prompt};Cette région est actuellement sous contrôle de Bastok.${prompt}
Conquest update:;Mise à jour de la conquête :
This region is currently under Windurstian control.${prompt};Cette région est actuellement sous contrôle de Windurst.${prompt}
Conquest update:;Mise à jour de la conquête :
This region is currently under beastman control.;Cette région est actuellement sous contrôle des hommes-bêtes.
You cannot obtain crystals in this region.${prompt};Vous ne pouvez pas obtenir de cristaux dans cette région.${prompt}
All three nations are at a deadlock.${prompt};Les trois nations sont dans une impasse totale.${prompt}
The beastmen are on the rise.${prompt};Les hommes-bêtes sont en train de monter en puissance.${prompt}
Regional influence:;Influence régionale :
San d'Oria - Dominant${prompt};San d'Oria - Dominante${prompt}
Regional influence:;Influence régionale :
San d'Oria - Major${prompt};San d'Oria - Majeure${prompt}
Regional influence:;Influence régionale :
San d'Oria - Minor${prompt};San d'Oria - Mineure${prompt}
Regional influence:;Influence régionale :
San d'Oria - Minimal${prompt};San d'Oria - Minimale${prompt}
Bastok - Dominant${prompt};Bastok - Dominante${prompt}
Bastok - Major${prompt};Bastok - Majeure${prompt}
Bastok - Minor${prompt};Bastok - Mineure${prompt}
Bastok - Minimal${prompt};Bastok - Minimale${prompt}
Windurst - Dominant${prompt};Windurst - Dominante${prompt}
Windurst - Major${prompt};Windurst - Majeure${prompt}
Windurst - Minor${prompt};Windurst - Mineure${prompt}
Windurst - Minimal${prompt};Windurst - Minimale${prompt}
Bastok and Windurst have formed an alliance.${prompt};Bastok et Windurst ont formé une alliance.${prompt}
San d'Oria and Windurst have formed an alliance.${prompt};San d'Oria et Windurst ont formé une alliance.${prompt}
San d'Oria and Bastok have formed an alliance.${prompt};San d'Oria et Bastok ont formé une alliance.${prompt}
Bastok and Windurst are currently allies.${prompt};Bastok et Windurst sont actuellement alliées.${prompt}
San d'Oria and Windurst are currently allies.${prompt};San d'Oria et Windurst sont actuellement alliées.${prompt}
San d'Oria and Bastok are currently allies.${prompt};San d'Oria et Bastok sont actuellement alliées.${prompt}
所属国：${number: 0};
判定：${number: 1}${prompt};
装備チェック：${number: 0};
アイテム：${item-singular: 2[2]};
引くポイント：${number: 3}${prompt};
ITEM_ID:${number: 2};
希望商品番号:${number: 3}${prompt};
希望商品番号:${number: 0};
引くポイント:${number: 1}${prompt};
${choice: 0}[サンドリア/バストゥーク/ウィンダス]の状況:${choice: 0}[劣勢/やや劣勢/やや優勢/優勢/膠着];
武器の値段:${number: 2}、入れるポイント:${number: 3}${prompt};
The beastmen are gaining power.${prompt};
San d'Oria's regional control is now 10% closer to the first place country's!${prompt};
Bastok's regional control is now 10% closer to the first place country's!${prompt};
Windurst's regional control are now 10% closer to the first place country's!${prompt};
San d'Oria's region points have increased!${prompt};
Bastok's region points have increased!${prompt};
Windurst's region points have increased!${prompt};
San d'Orian E.F. defeats beastmen hordes... Maintain current momentum.${prompt};
Bastokan E.F. defeats beastmen hordes...Maintain current momentum.${prompt};
Windurstian E.F. defeats beastmen hordes...Maintain current momentum.${prompt};
A San d'Orian Expeditionary Force has been dispatched to this area.${prompt};
A Bastokan Expeditionary Force has been dispatched to this area.${prompt};
A Windurstian Expeditionary Force has been dispatched to this area.${prompt};
E.F. Influence: Great...Region Status: Dominant...Maintain current level of combat.${prompt};
E.F. Influence: Fair...Region Status: Major...Maintain momentum.${prompt};
E.F. Influence: Poor...Region Status: Minor...Increase efforts.${prompt};
E.F. Influence: Minimal...Region Status: Minimal...Increase efforts tenfold.${prompt};
E.F. Influence: None...Region Status: Under beastman control...Keep losses to minimum.${prompt};
There was a curse on the beastmen's banner!${prompt};
The curse of the beastmen's banner has been lifted!${prompt};
There is a beastmen's banner.${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
遠征先リージョンナンバー　${number: 0};
現在のリージョンナンバー　${number: 1}${prompt};
増えたポイント　${number: 0};
増えたカウント　${number: 1}${prompt};
${color-alt: 161}A mog tablet has been discovered in ${choice: 0}[West Ronfaure/East Ronfaure/the La Theine Plateau/the Valkurm Dunes/Jugner Forest/the Batallia Downs/North Gustaberg/South Gustaberg/the Konschtat Highlands/the Pashhow Marshlands/the Rolanberry Fields/Beaucedine Glacier/Xarcabard/West Sarutabaruta/East Sarutabaruta/the Tahrongi Canyon/the Buburimu Peninsula/the Meriphataud Mountains/the Sauromugue Champaign/Qufim Island/Behemoth's Dominion/Cape Teriggan/the Eastern Altepa Desert/the Sanctuary of Zi'Tah/Ro'Maeve/the Yuhtunga Jungle/the Yhoator Jungle/the Western Altepa Desert/the Valley of Sorrows]!;
${color-alt: 161}The complete set of mog tablets has been restored to Ru'Lude Gardens!;
The ancient magic of King Kupofried permeates the air to instill adventurers in this area with its Super Kupowers!;
${color-alt: 161}The strength of the ancient moogle magic has weakened, and the tablets have been scattered to the winds once more.;
You can feel your Super Kupowers begin to fade away...;
${color-alt: 161}This area is currently affected by the Super Kupower: “Thrifty Transit”!;
${color-alt: 161}This area is currently affected by the Super Kupower: “Martial Master”!;
${color-alt: 161}This area is currently affected by the Super Kupower: “Blood of the Vampyr”!;
${color-alt: 161}This area is currently affected by the Super Kupower: “Treasure Hound”!;
${color-alt: 161}This area is currently affected by the Super Kupower: “Artisan's Advantage”!;
${color-alt: 161}This area is currently affected by the Super Kupower: “Myriad Mystery Boxes”!;
${color-alt: 161}This area is currently affected by the Super Kupower: “Dilatory Digestion”!;
${color-alt: 161}This area is currently affected by the Super Kupower: “Boundary Buster”!;
${color-alt: 161}This area is currently affected by the Super Kupower: “Bountiful Bazaar”!;
${color-alt: 161}This area is currently affected by the Super Kupower: “Swift Shoes”!;
${color-alt: 161}This area is currently affected by the Super Kupower: “Crystal Caboodle”!;
${color-alt: 161}The ancient magic of King Kupofried fills the air, its glorious Super Kupowers bringing happiness and joy to the realm!;
Visit the Explorer Moogle in Ru'Lude Gardens to find out more.;
${color-alt: 161}This area is currently affected by the Super Kupower: “${choice: 0}[/Thrifty Transit/Martial Master/Blood of the Vampyr/Treasure Hound/Artisan's Advantage/Myriad Mystery Boxes/Dilatory Digestion/Boundary Buster/Bountiful Bazaar/Swift Shoes/Crystal Caboodle]”!;
This area is currently affected by the Super Kupower: “${choice: 1}[/Thrifty Transit/Martial Master/Blood of the Vampyr/Treasure Hound/Artisan's Advantage/Myriad Mystery Boxes/Dilatory Digestion/Boundary Buster/Bountiful Bazaar/Swift Shoes/Crystal Caboodle]”!;
This area is currently affected by the Super Kupower: “${choice: 2}[/Thrifty Transit/Martial Master/Blood of the Vampyr/Treasure Hound/Artisan's Advantage/Myriad Mystery Boxes/Dilatory Digestion/Boundary Buster/Bountiful Bazaar/Swift Shoes/Crystal Caboodle]”!;
The synergy furnace is currently claimed.${prompt};
Claim usage of the furnace?;
${selection-lines};
Yes.;
No.${prompt};
Your claim over the synergy furnace will expire in ten seconds.;
${lettercase: 1}${keyitem-singular: 0[2]} set. You now have claim over the synergy furnace.;
Please deposit your ingredients inside the furnace and initiate the synergy process within ${number: 1} minute${choice-plurality: 1}[/s].${prompt};
Please be aware that certain items are not suitable for use as synergy ingredients.${prompt};
You currently have claim over the synergy furnace.;
Please deposit your ingredients inside the furnace and initiate the synergy process.${prompt};
The synergy furnace is currently in use by ${player: 1}.${prompt};
The synergy furnace is currently in use by ${player: 2}.${prompt};
The synergy furnace is currently in use by ${player: 3}.${prompt};
The synergy furnace is currently in use by ${player: 4}.${prompt};
The synergy furnace is currently in use by ${player: 5}.${prompt};
${number: 0} ${choice-plurality: 1}[minute has/minutes have] elapsed.;
Your claim over the synergy furnace has expired.${prompt};
A member of your party already has claim over the synergy furnace.;
Possession of ${keyitem-article: 0[2]} is required to use a synergy furnace.${prompt};
Unable to claim usage.;
The synergy furnace is currently in use by ${player: 1}.;
Unable to claim usage.;
The synergy furnace is currently in use by ${player: 2}.;
Unable to claim usage.;
The synergy furnace is currently in use by ${player: 3}.;
Unable to claim usage.;
The synergy furnace is currently in use by ${player: 4}.;
Unable to claim usage.;
