Phrase en Anglais;Phrase en Français
The client sent an invalid value to the server!${prompt};
You cannot receive mission assignments at this time.${prompt};
I am in charge of assigning missions, but I am only allowed to do so to those whose allegiance is to Bastok.${prompt};
You cannot undertake two missions at the same time.;
Finish the one you are on now before asking for a new one.${prompt};
Missions currently available are as follows:${prompt};
Which mission will you undertake?;
${selection-lines};
The Zeruhn Report.;
A Geological Survey.;
Fetichism.;
The Crystal Line.;
Wading Beasts.;
The Emissary.;
2-3-1A.;
2-3-1B.;
2-3-2A.;
2-3-2B.;
The Four Musketeers.;
To the Forsaken Mines.;
Jeuno.;
ダミー.;
Darkness Rising.;
Xarcabard, Land of Truths.;
Return of the Talekeeper.;
The Pirates' Cove.;
The Final Image.;
On My Way.;
The Chains That Bind Us.;
Enter the Talekeeper.;
The Salt of the Earth.;
Where Two Paths Converge.;
ダミー１０.;
ダミー１１.;
ダミー１２.;
ダミー１３.;
ダミー１４.;
ダミー１５.;
ダミー１６.;
None.${prompt};
I am in charge of assigning missions to Bastokers who wish to serve their country. Are you one of them?${prompt};
Have you come to undertake a mission?;
${selection-lines};
Yes, I have.;
No, maybe later.${prompt};
Will you accept this mission?;
${selection-lines};
Yes.;
No.${prompt};
You have accepted the mission.${prompt};
Then move along.${prompt};
Good.;
This is your first time going on a mission, is it not?${prompt};
Your first assignment is not a difficult one.;
The details are as follows:${prompt};
You must go to the Zeruhn Mines in the western section of the Mines District.;
Once there, you are to collect a report from the overseer.${prompt};
You can consult the “Mission” section of the main menu to review your objectives.;
Speed and efficiency are your priorities. Dismissed.${prompt};
The Chief Engineer is conducting new research, and has asked for someone to assist him.;
He can be found in the Metalworks, to the east of the administrative section.${prompt};
The Chief Engineer's laboratory is on the second floor of the Metalworks.;
You don't know his name!? And you call yourself a Bastoker!${prompt};
The Chief Engineer's name is Cid. Any Bastoker would know that!;
Now go and see him. He will give you the details of your mission.${prompt};
The Palborough Mines, once our main source of mythril, have been under beastman control for some time.${prompt};
We want you to hunt these beastmen, the Quadav, and bring back ${article} ${item-article: 4[2]}, ${article} ${item-article: 5[2]}, ${article} ${item-article: 6[2]}, and ${article} ${item-article: 7[2]} as proof of your accomplishments.${prompt};
You must present all four items to me or one of my colleagues in order to complete this mission.${prompt};
Good, you've brought all four parts of the doll.${prompt};
I am raising your rank to 2 for completing this mission.;
Congratulations.${prompt};
If you've been to the Palborough Mines, you must know now the serious nature of the threat these beastmen pose to our civilization.${prompt};
As a Bastoker, you are expected to take on more missions and go on conquests to preserve Bastok's brilliant future!${prompt};
But I cannot give you a new mission at this time.${prompt};
You need to collect rank points before taking on new missions.${prompt};
You can receive rank points by participating in conquests and donating the crystals you acquire to guards, or by undertaking missions you've previously completed.${prompt};
Ask the High Guard near the gatehouse if you wish to hear more about conquests.${prompt};
Have you heard of a strange structure called the Crag of Dem? It is on the Konschtat Highlands, north of the Gustaberg Mountains.${prompt};
They say that crystals are drained of their power if you take them to a certain section of that structure.${prompt};
Chief Cid is currently investigating this strange phenomenon, and is asking for someone to bring back a faded crystal.${prompt};
Go see him for a more detailed explanation of your objectives.${prompt};
You want a crystal to use for this experiment? Are you not an adventurer? It should be easy for you to procure one.${prompt};
You are to collect ${article} ${item-article: 7[2]} from beasts in the Dangruf Wadi.${prompt};
Senator Alois is in need of some. Do not ask me why.;
He can be found in the President's Office.${prompt};
You've acquired quite a reputation.;
There is a new mission for you to tackle.${prompt};
First, speak to Sir Naji of the Mythril Musketeers at the President's Office.;
This mission is of great import to the welfare of our nation.${prompt};
I see you've made it back safely from your journey to Windurst and San d'Oria.;
This new mission should not be hard for an experienced adventurer like you.${prompt};
The Mythril Musketeers are planning an offensive on the Quadav stronghold.${prompt};
Adventurers, including yourself, have been asked to join them on this operation.${prompt};
You are to go meet Iron Eater, one of the Mythril Musketeers, to receive a full briefing.${prompt};
The Gusgen Mines in the Konschtat Highlands have been dug to the bare rock and abandoned for some time...${prompt};
But lately, there have been reports that a rare ore can be found in them.;
No one has claimed this new vein yet.${prompt};
You are to bring back a sample of the ore to confirm these reports. A Galka adventurer named Davyad should be able to help you. He is said to have acquired a chunk of the ore when he was there last.${prompt};
The item that Davyad brought back was ${article} ${item-article: 7[2]}. That is what you should seek as well.;
Once you have the ore, hand them over to me or one of my colleagues.${prompt};
You have succeeded in bringing back ${article} ${item-article: 7[2]}.;
Good work, adventurer. This discovery may help rejuvenate Bastok's economy!${prompt};
You have heard of Jeuno, have you not? The Bastokan government is currently looking for someone to send there, and your name is on the list of candidates.${prompt};
The presidential aide, Sir Lucius himself, recommended you. It is a great honor--you should be proud!${prompt};
Sir Lucius wishes to see you as soon as possible. Go meet him in his office in the administrative section at the top of the Metalworks.${prompt};
I have orders for you from the president himself.;
You must have heard already, but he wants you to go to Fei'Yin.${prompt};
