Phrase en Anglais;Phrase en Français
${color-alt: 161}A mog tablet has been discovered in ${choice: 0}[West Ronfaure/East Ronfaure/the La Theine Plateau/the Valkurm Dunes/Jugner Forest/the Batallia Downs/North Gustaberg/South Gustaberg/the Konschtat Highlands/the Pashhow Marshlands/the Rolanberry Fields/Beaucedine Glacier/Xarcabard/West Sarutabaruta/East Sarutabaruta/the Tahrongi Canyon/the Buburimu Peninsula/the Meriphataud Mountains/the Sauromugue Champaign/Qufim Island/Behemoth's Dominion/Cape Teriggan/the Eastern Altepa Desert/the Sanctuary of Zi'Tah/Ro'Maeve/the Yuhtunga Jungle/the Yhoator Jungle/the Western Altepa Desert/the Valley of Sorrows]!;
${color-alt: 161}The complete set of mog tablets has been restored to Ru'Lude Gardens!;
The ancient magic of King Kupofried permeates the air to instill adventurers in this area with its Super Kupowers!;
${color-alt: 161}The strength of the ancient moogle magic has weakened, and the tablets have been scattered to the winds once more.;
You can feel your Super Kupowers begin to fade away...;
${color-alt: 161}This area is currently affected by the Super Kupower: “Thrifty Transit”!;
${color-alt: 161}This area is currently affected by the Super Kupower: “Martial Master”!;
${color-alt: 161}This area is currently affected by the Super Kupower: “Blood of the Vampyr”!;
${color-alt: 161}This area is currently affected by the Super Kupower: “Treasure Hound”!;
${color-alt: 161}This area is currently affected by the Super Kupower: “Artisan's Advantage”!;
${color-alt: 161}This area is currently affected by the Super Kupower: “Myriad Mystery Boxes”!;
${color-alt: 161}This area is currently affected by the Super Kupower: “Dilatory Digestion”!;
${color-alt: 161}This area is currently affected by the Super Kupower: “Boundary Buster”!;
${color-alt: 161}This area is currently affected by the Super Kupower: “Bountiful Bazaar”!;
${color-alt: 161}This area is currently affected by the Super Kupower: “Swift Shoes”!;
${color-alt: 161}This area is currently affected by the Super Kupower: “Crystal Caboodle”!;
${color-alt: 161}The ancient magic of King Kupofried fills the air, its glorious Super Kupowers bringing happiness and joy to the realm!;
Visit the Explorer Moogle in Ru'Lude Gardens to find out more.;
${color-alt: 161}This area is currently affected by the Super Kupower: “${choice: 0}[/Thrifty Transit/Martial Master/Blood of the Vampyr/Treasure Hound/Artisan's Advantage/Myriad Mystery Boxes/Dilatory Digestion/Boundary Buster/Bountiful Bazaar/Swift Shoes/Crystal Caboodle]”!;
This area is currently affected by the Super Kupower: “${choice: 1}[/Thrifty Transit/Martial Master/Blood of the Vampyr/Treasure Hound/Artisan's Advantage/Myriad Mystery Boxes/Dilatory Digestion/Boundary Buster/Bountiful Bazaar/Swift Shoes/Crystal Caboodle]”!;
This area is currently affected by the Super Kupower: “${choice: 2}[/Thrifty Transit/Martial Master/Blood of the Vampyr/Treasure Hound/Artisan's Advantage/Myriad Mystery Boxes/Dilatory Digestion/Boundary Buster/Bountiful Bazaar/Swift Shoes/Crystal Caboodle]”!;
The synergy furnace is currently claimed.${prompt};
Claim usage of the furnace?;
${selection-lines};
Yes.;
No.${prompt};
