Phrase en Anglais;Phrase en Français
Greetings adventurer! I'm so glad you've come, kupo!;Bonjour, adventurier(e)! Je suis tellement content que vous soyez venu(e), kupo!
To celebrate the safe recovery of all eleven of King Kupofried's mog tablets, we're offering a limited-time teleportation service for the low, low price of ${number: 0} gil! What do you say?${prompt};Les tablettes mog ayant été toutes récupérées, nous proposons actuellement un service de téléportation pour ${number: 0} gil, kupo !${prompt}
Teleport to where? (Cost: ${number: 0} gil.);Où désirez-vous aller ? (Cost: ${number: 0} gil.)
${selection-lines};
Nowhere.;Nulle part, merci.
San d'Oria.;
Bastok.;
Windurst.;
Selbina.;
Mhaura.${prompt};
Your wish is my command, kupo!;D'accord, kupo!
For a small fee of ${number: 0} gil, that is...${prompt};Cela vous coûtera ${number: 0} gils.${prompt}
Safe travels, kupo!;Bon voyage, kupo !
Looks like you're light on funds, kupo... Sorry!${prompt};Vous n'avez pas assez d'argent, kupo...${prompt}
What's this? You're still new to this land?;Oh ! Vous êtes un aventurier(e) novice, n'est-ce pas ?
I'm afraid you're not yet strong enough to handle our potent moogle magic!;Je suis désolé, mais vous ne pouvez pas utiliser ce service, kupo.${prompt}
Just forget I said anything, kupo!${prompt};Oh, non ! On dirait que les tablettes mog se sont de nouveau dispersées.
Oh, what a shame! The mog tablets have been scattered to the winds once more!;Le service de téléportation est donc malheureusement interrompu, kupo...${prompt}
Without their power, I'm afraid we can't help you, kupo.${prompt};Vous trouvez un registre de contrats de chasse rédigé par le réseau d'entraide mutuelle entre aventuriers, l'A.M.A.N. Il contient une liste d'ennemis cruels.${prompt}
A hunt registry has been placed here by the Adventurers' Mutual Aid Network (A.M.A.N.). Its pages are laden with the names of spine-chilling monsters.${prompt};Vous trouvez un registre de contrats de chasse rédigé par le réseau d'entraide mutuelle entre soldats, le S.M.A.N. Il contient une liste d'ennemis cruels.${prompt}
A hunt registry has been placed here by the Servicemen's Mutual Aid Network (S.M.A.N.). Its pages are laden with the names of spine-chilling monsters.${prompt};Que faites-vous ?
What will you do?;
${selection-lines};Rien.
Nothing.;Faire le compte rendu d'un contrat accompli.
Undertake a hunt.;Lire les annotations sur les contrats de chasse.
Read explanation.;"Consulter le chapitre ""Contrats de chasse""."
Record completion of hunt.;Vérifier le contrat de chasse en cours.
View current hunt.;Annuler le contrat de chasse en cours.
Cancel current hunt.;Vérifier le nombre actuel de feuillets.${prompt}
View scyld balance.${prompt};Un nouveau contrat de chasse ne peut être choisi si celui en cours n'est pas préalablement annulé.${prompt}
You must cancel your current hunt if you wish to undertake another.${prompt};Un certain temps de repos est nécessaire après un contrat de chasse, avant de pouvoir en choisir un autre.${prompt}
Little time has passed since your last hunt. It is recommended that you take some time to recuperate before undertaking another.${prompt};Un contrat de chasse ne peut pas être sélectionné en même temps qu'un programme d'entraînement des manuels de bataille.${prompt}
You cannot undertake a hunt while a training regime is active.${prompt};Annuler le programme d'entraînement du manuel de bataille en cours ?
Cancel your training regime?;
${selection-lines};
Yes.;
No.${prompt};Le programme d'entraînement du manuel de bataille a été annulé.${prompt}
Current training regime canceled.${prompt};Un nouveau contrat de chasse ne peut être choisi si celui en cours n'a pas préalablement fait l'objet d'un compte rendu ou été annulé.${prompt}
You must either notify the completion of, or cancel your current hunt in order to undertake another.${prompt};
Which page?;
${selection-lines};
I've changed my mind.;
West Ronfaure.;
East Ronfaure.;
La Theine Plateau.;
Valkurm Dunes.;
Jugner Forest.;
Batallia Downs.;
Carpenters' Landing.;
Ghelsba Outpost.;
Fort Ghelsba.;
King Ranperre's Tomb.;
Bostaunieux Oubliette.;
Ordelle's Caves.;
Eldieme Necropolis.;
Davoi.;
Habitat Unknown.;
${prompt};
Which page?;
${selection-lines};
I've changed my mind.;
North Gustaberg.;
South Gustaberg.;
Konschtat Highlands.;
Valkurm Dunes.;
Pashhow Marshlands.;
Rolanberry Fields.;
Palborough Mines.;
Dangruf Wadi.;
Korroloka Tunnel.;
Gusgen Mines.;
Crawlers' Nest.;
Beadeaux.;
Oldton Movalpolos.;
Newton Movalpolos.;
Habitat Unknown.;
${prompt};
Which page?;
${selection-lines};
I've changed my mind.;
West Sarutabaruta.;
East Sarutabaruta.;
Tahrongi Canyon.;
Buburimu Peninsula.;
Bibiki Bay.;
Meriphataud Mountains.;
Sauromugue Champaign.;
Attohwa Chasm.;
Giddeus.;
Toraimarai Canal.;
Inner Horutoto Ruins.;
Outer Horutoto Ruins.;
Maze of Shakhrami.;
Labyrinth of Onzozo.;
Garlaige Citadel.;
Castle Oztroja.;
Habitat Unknown.;
${prompt};
Which page?;
${selection-lines};
I've changed my mind.;
Qufim Island.;
Beaucedine Glacier.;
Xarcabard.;
Uleguerand Range.;
The Sanctuary of Zi'Tah.;
Ro'Maeve.;
Upper Delkfutt's Tower.;
Middle Delkfutt's Tower.;
Lower Delkfutt's Tower.;
Ranguemont Pass.;
Fei'Yin.;
Castle Zvahl Baileys.;
Castle Zvahl Keep.;
The Boyahda Tree.;
Habitat Unknown.;
${prompt};
Which page?;
${selection-lines};
I've changed my mind.;
Yuhtunga Jungle.;
Yhoator Jungle.;
Sea Serpent Grotto.;
Temple of Uggalepih.;
Den of Rancor.;
Ifrit's Cauldron.;
${prompt};
Which page?;
${selection-lines};
I've changed my mind.;
Cape Teriggan.;
Eastern Altepa Desert.;
Western Altepa Desert.;
Kuftal Tunnel.;
Gustav Tunnel.;
Quicksand Caves.;
${prompt};
Which page?;
${selection-lines};
I've changed my mind.;
Lufaise Meadows.;
Misareaux Coast.;
${prompt};
Which page?;
${selection-lines};
I've changed my mind.;
Wajaom Woodlands.;
Bhaflau Thickets.;
Mount Zhayolm.;
Mamook.;
Aydeewa Subterrane.;
Halvung.;
${prompt};
Which page?;
${selection-lines};
I've changed my mind.;
Caedarva Mire.;
Arrapago Reef.;
Alzadaal Undersea Ruins.;
${prompt};
Which page?;
${selection-lines};
I've changed my mind.;
East Ronfaure.;
Jugner Forest.;
Vunkerl Inlet.;
Batallia Downs.;
Eldieme Necropolis.;
Beaucedine Glacier.;
Xarcabard.;
${prompt};
Which page?;
${selection-lines};
I've changed my mind.;
North Gustaberg.;
Grauberg.;
Pashhow Marshlands.;
Rolanberry Fields.;
Crawlers' Nest.;
Beaucedine Glacier.;
Xarcabard.;
${prompt};
Which page?;
${selection-lines};
I've changed my mind.;
West Sarutabaruta.;
Fort Karugo-Narugo.;
Meriphataud Mountains.;
Sauromugue Champaign.;
Garlaige Citadel.;
Beaucedine Glacier.;
Xarcabard.;
${prompt};Choisissez une page :
Which page?;
${selection-lines};Aucune.
I've changed my mind.;Contrat de chasse No1.
Hunt #1.;Contrat de chasse No2.
Hunt #2.;Contrat de chasse No3.
Hunt #3.;Contrat de chasse No4.
Hunt #4.;Contrat de chasse No5.
