Phrase en Anglais;Phrase en Français
Tallying conquest results...${prompt};Calcul des résultats de la conquête...${prompt}
Conquest results tallied.${prompt};Résultats de la conquête calculés.${prompt}
This region is currently under San d'Orian control.${prompt};Cette région est actuellement sous le contrôle de San d'Oria.${prompt}
This region is currently under Bastokan control.${prompt};Cette région est actuellement sous le contrôle de Bastok.${prompt}
This region is currently under Windurstian control.${prompt};Cette région est actuellement sous le contrôle de Windurst.${prompt}
This region is currently under beastman control.;Cette région est actuellement sous le contrôle des hommes-bêtes.
You cannot obtain crystals in this region.${prompt};Vous ne pouvez pas obtenir de cristaux dans cette région.${prompt}
This region is currently neutral.${prompt};Cette région est actuellement neutre.${prompt}
Global balance of power:;Équilibre global des pouvoirs :
1st: San d'Oria;1er : San d'Oria
2nd: Windurst;2ème : Windurst
3rd: Bastok${prompt};3ème : Bastok${prompt}
All three nations are tied for first place.${prompt};Les trois nations sont à égalité pour la première place.${prompt}
Global balance of power:;Équilibre global des pouvoirs :
1st: San d'Oria and Windurst (tie);1er : San d'Oria et Windurst (égalité)
3rd: Bastok${prompt};3ème : Bastok${prompt}
Global balance of power:;Équilibre global des pouvoirs :
1st: San d'Oria;1er : San d'Oria
2nd: Bastok and Windurst (tie)${prompt};2ème : Bastok et Windurst (égalité)${prompt}
Global balance of power:;Équilibre global des pouvoirs :
1st: San d'Oria;1er : San d'Oria
2nd: Bastok;2ème : Bastok
3rd: Windurst${prompt};3ème : Windurst${prompt}
All three nations are tied for first place.${prompt};Les trois nations sont à égalité pour la première place.${prompt}
Global balance of power:;Équilibre global des pouvoirs :
1st: San d'Oria and Bastok (tie);1er : San d'Oria et Bastok (égalité)
3rd: Windurst${prompt};3ème : Windurst${prompt}
Global balance of power:;Équilibre global des pouvoirs :
1st: San d'Oria;1er : San d'Oria
2nd: Bastok and Windurst (tie)${prompt};2ème : Bastok et Windurst (égalité)${prompt}
Global balance of power:;Équilibre global des pouvoirs :
1st: Bastok;1er : Bastok
2nd: San d'Oria;2ème : San d'Oria
3rd: Windurst${prompt};3ème : Windurst${prompt}
All three nations are tied for first place.${prompt};Les trois nations sont à égalité pour la première place.${prompt}
Global balance of power:;Équilibre global des pouvoirs :
1st: San d'Oria and Bastok (tie);1er : San d'Oria et Bastok (égalité)
3rd: Windurst${prompt};3ème : Windurst${prompt}
Global balance of power:;Équilibre global des pouvoirs :
1st: Bastok;1er : Bastok
2nd: San d'Oria and Windurst (tie)${prompt};2ème : San d'Oria et Windurst (égalité)${prompt}
Global balance of power:;Équilibre global des pouvoirs :
1st: Bastok;1er : Bastok
2nd: Windurst;2ème : Windurst
3rd: San d'Oria${prompt};3ème : San d'Oria${prompt}
All three nations are tied for first place.${prompt};Les trois nations sont à égalité pour la première place.${prompt}
Global balance of power:;Équilibre global des pouvoirs :
1st: Bastok and Windurst (tie);1er : Bastok et Windurst (égalité)
3rd: San d'Oria${prompt};3ème : San d'Oria${prompt}
