Phrase en Anglais;Phrase en Français
You can set this as your current home point.;Vous pouvez définir ceci comme votre point de retour actuel.
Once you set a home point, you will return there whenever you are incapacitated.;Une fois que vous avez défini un point de retour, vous y retournerez chaque fois que vous serez incapacités.
Set this as current home point?;Définir ceci comme point de retour actuel ?
${selection-lines};${selection-lines}
Yes.;Oui.
No.${prompt};Non.${prompt}
Home point set!${prompt};Point de retour défini !${prompt}
A home point can be set as a spot for you to return to Vana'diel when you have been knocked out. You can also use a home point to teleport to other home points.;Un point de retour peut être défini comme un endroit où vous reviendrez à Vana'diel lorsque vous serez mis K.O. Vous pouvez également utiliser un point de retour pour vous téléporter vers d'autres points de retour.${prompt}
What will you do?;Que voulez-vous faire ?
${selection-lines};${selection-lines}
Travel to another home point.;Voyager vers un autre point de retour.
Set this as your home point.;Définir ceci comme votre point de retour.
Other settings.;Autres paramètres.
On second thought, never mind.${prompt};Finalement, rien.${prompt}
You have registered a new home point!;Vous avez enregistré un nouveau point de retour !
You are now able to teleport here from any other home point.${prompt};Vous pouvez désormais vous téléporter ici depuis n'importe quel autre point de retour.${prompt}
You may teleport from here to any other home point you have registered.;Vous pouvez vous téléporter d'ici vers n'importe quel autre point de retour que vous avez enregistré.${prompt}
Teleport where?;Téléporter où ?
${selection-lines};${selection-lines}
Never mind.;Laisser tomber.
${zone: 1[2]}.;${zone: 1[2]}.
${zone: 2[2]}.;${zone: 2[2]}.
${zone: 3[2]}.;${zone: 3[2]}.
${zone: 4[2]}.;${zone: 4[2]}.
${zone: 5[2]}.;${zone: 5[2]}.
${zone: 6[2]}.;${zone: 6[2]}.
${zone: 7[2]}.;${zone: 7[2]}.
${zone: 8[2]}.;${zone: 8[2]}.
${zone: 9[2]}.;${zone: 9[2]}.
${zone: 10[2]}.;${zone: 10[2]}.
${zone: 11[2]}.;${zone: 11[2]}.
${zone: 12[2]}.;${zone: 12[2]}.
${zone: 13[2]}.;${zone: 13[2]}.
${zone: 14[2]}.;${zone: 14[2]}.
${zone: 15[2]}.;${zone: 15[2]}.
${zone: 16[2]}.;${zone: 16[2]}.
Previous page.;Page précédente.
Next page.${prompt};Page suivante.${prompt}
Teleport where?（${zone: 33[2]}）;Téléporter où ?（${zone: 33[2]}）
${selection-lines};${selection-lines}
Nowhere.;Nulle part.
Home Point #1${choice: 1}[/ (M)/ (A)/ (E)].;Point de retour #1${choice: 1}[/ (M)/ (A)/ (E)].
Home Point #2${choice: 2}[/ (M)/ (A)/ (E)].;Point de retour #2${choice: 2}[/ (M)/ (A)/ (E)].
Home Point #3${choice: 3}[/ (M)/ (A)/ (E)].;Point de retour #3${choice: 3}[/ (M)/ (A)/ (E)].
Home Point #4${choice: 4}[/ (M)/ (A)/ (E)].;Point de retour #4${choice: 4}[/ (M)/ (A)/ (E)].
Home Point #5${choice: 5}[/ (M)/ (A)/ (E)].${prompt};Point de retour #5${choice: 5}[/ (M)/ (A)/ (E)].${prompt}
You have not yet registered any other home points, and thus are unable to teleport.${prompt};Vous n'avez encore enregistré aucun autre point de retour, donc vous ne pouvez pas vous téléporter.${prompt}
It costs ${number: 3} gil to teleport to Home Point #${number: 2} in ${zone: 1[2]}.;Cela coûte ${number: 3} gil pour se téléporter au Point de retour #${number: 2} dans ${zone: 1[2]}.${prompt}
There is no fee for teleporting to Home Point #${number: 2} in ${zone: 1[2]}.;Il n’y a pas de frais pour se téléporter au Point de retour #${number: 2} dans ${zone: 1[2]}.${prompt}
Teleport? (Current gil: ${number: 0});Téléporter ? (Gil actuel : ${number: 0})
${selection-lines};${selection-lines}
${choice: 33}[Add to favorites/Remove from favorites].;${choice: 33}[Ajouter aux favoris/Retirer des favoris].
Yes, please.;Oui, s'il vous plaît.
No, thank you.${prompt};Non, merci.${prompt}
Teleport to which region?;Téléporter vers quelle région ?
${selection-lines};${selection-lines}
On second thought, none.;Finalement, rien.
Select from favorites.;Sélectionner à partir des favoris.
Current region.;Région actuelle.
${choice: 1}[San d'Oria/Movalpolos].;${choice: 1}[San d'Oria/Movalpolos].
${choice: 1}[Bastok/Tavnazian Arch].;${choice: 1}[Bastok/Archipel Tavnazien].
${choice: 1}[Windurst/Lumoria].;${choice: 1}[Windurst/Lumoria].
${choice: 1}[Jeuno/Mamool Ja Savage].;${choice: 1}[Jeuno/Savane des Mamool Ja].
${choice: 1}[Tavnazia/Halvung].;${choice: 1}[Tavnazia/Halvung].
${choice: 1}[West. Aht Urhgan/Arrapago Is].;${choice: 1}[Aht Urhgan Ouest/Îles d'Arrapago].
${choice: 1}[Adoulin Isles/Ruins of Alzadaal].;${choice: 1}[Îles d'Adoulin/Ruines d'Alzadaal].
${choice: 1}[Ronfaure/Ronfaure Front].;${choice: 1}[Ronfaure/Front de Ronfaure].
${choice: 1}[Zulkheim/Norvallen Front].;${choice: 1}[Zulkheim/Front de Norvallen].
${choice: 1}[Norvallen/Gustaberg Front].;${choice: 1}[Norvallen/Front de Gustaberg].
${choice: 1}[Gustaberg/Derfland Front].;${choice: 1}[Gustaberg/Front de Derfland].
${choice: 1}[Derfland/Sarutabaruta Front].;${choice: 1}[Derfland/Front de Sarutabaruta].
${choice: 1}[Sarutabaruta/Aragoneu Front].;${choice: 1}[Sarutabaruta/Front d'Aragoneu].
${choice: 1}[Kolshushu/Fauregandi Front].;${choice: 1}[Kolshushu/Front de Fauregandi].
${choice: 1}[Aragoneu/Valdeaunia Front].;${choice: 1}[Aragoneu/Front de Valdeaunia].
${choice: 1}[Fauregandi/East. Ulbuka].;${choice: 1}[Fauregandi/Ulbuka Est].
${choice: 1}[Valdeaunia/Ra'Kaznar].;${choice: 1}[Valdeaunia/Ra'Kaznar].
${choice: 1}[Qufim/].;${choice: 1}[Qufim/].
${choice: 1}[Li'Telor/].;${choice: 1}[Li'Telor/].
${choice: 1}[Kuzotz/].;${choice: 1}[Kuzotz/].
${choice: 1}[Vollbow/].;${choice: 1}[Vollbow/].
${choice: 1}[Elshimo Low/].;${choice: 1}[Elshimo Bas/].
${choice: 1}[Elshimo Up/].;${choice: 1}[Elshimo Haut/].
${choice: 1}[Tu'Lia/].;${choice: 1}[Tu'Lia/].
Previous page.;Page précédente.
Next page.${prompt};Page suivante.${prompt}
Teleport where?;Téléporter où ?
${selection-lines};${selection-lines}
None of these.;Aucun de ceux-ci.
A favorited location.;Un emplacement favori.
An original area.;Une zone d'origine.
A Rise of the Zilart area.;Une zone de Rise of the Zilart.
A Chains of Promathia area.;Une zone de Chains of Promathia.
A Treasures of Aht Urhgan area.;Une zone de Treasures of Aht Urhgan.
A Wings of the Goddess area.;Une zone de Wings of the Goddess.
A Seekers of Adoulin area.${prompt};Une zone de Seekers of Adoulin.${prompt}
You may change the method of selecting the area of your desired home point to teleport to.;Vous pouvez changer la méthode de sélection de la zone de votre point de retour souhaité pour vous téléporter.
Which setting would you like?;Quelle option souhaitez-vous ?
${selection-lines};${selection-lines}
My current setting.;Mon réglage actuel.
Select by region.;Sélectionner par région.
Select by expansion.${prompt};Sélectionner par extension.${prompt}
You are now selecting by ${choice: 1}[region/expansion].;Vous sélectionnez maintenant par ${choice: 1}[région/extension].
Teleport where?;Téléporter où ?
${selection-lines};${selection-lines}
None of these.;Aucun de ceux-ci.
${zone: 1[2]} #${number: 17}.;${zone: 1[2]} #${number: 17}.
${zone: 2[2]} #${number: 18}.;${zone: 2[2]} #${number: 18}.
${zone: 3[2]} #${number: 19}.;${zone: 3[2]} #${number: 19}.
${zone: 4[2]} #${number: 20}.;${zone: 4[2]} #${number: 20}.
${zone: 5[2]} #${number: 21}.;${zone: 5[2]} #${number: 21}.
${zone: 6[2]} #${number: 22}.;${zone: 6[2]} #${number: 22}.
${zone: 7[2]} #${number: 23}.;${zone: 7[2]} #${number: 23}.
${zone: 8[2]} #${number: 24}.;${zone: 8[2]} #${number: 24}.
${zone: 9[2]} #${number: 25}.;${zone: 9[2]} #${number: 25}.
${choice: 33}[Add to favorites/Remove from favorites].${prompt};${choice: 33}[Ajouter aux favoris/Retirer des favoris].${prompt}
Home Point #${number: 2} in ${zone: 1[2]} has been ${choice: 33}[registered to/removed from] your list of favorite locations.;Le Point de retour #${number: 2} dans ${zone: 1[2]} a été ${choice: 33}[enregistré sur/supprimé de] votre liste d’emplacements favoris.
Your list of favorite locations is full. You must delete an existing entry in order to register a new one.;Votre liste d'emplacements favoris est pleine. Vous devez supprimer une entrée existante pour en enregistrer une nouvelle.
Delete which?;Supprimer lequel ?
${selection-lines};${selection-lines}
None of these.;Aucun de ceux-ci.
${zone: 1[2]} #${number: 17}.;${zone: 1[2]} #${number: 17}.
${zone: 2[2]} #${number: 18}.;${zone: 2[2]} #${number: 18}.
${zone: 3[2]} #${number: 19}.;${zone: 3[2]} #${number: 19}.
${zone: 4[2]} #${number: 20}.;${zone: 4[2]} #${number: 20}.
${zone: 5[2]} #${number: 21}.;${zone: 5[2]} #${number: 21}.
${zone: 6[2]} #${number: 22}.;${zone: 6[2]} #${number: 22}.
${zone: 7[2]} #${number: 23}.;${zone: 7[2]} #${number: 23}.
${zone: 8[2]} #${number: 24}.;${zone: 8[2]} #${number: 24}.
${zone: 9[2]} #${number: 25}.${prompt};${zone: 9[2]} #${number: 25}.${prompt}
${color-alt: 161}A mog tablet has been discovered in ${choice: 0}[West Ronfaure/East Ronfaure/the La Theine Plateau/the Valkurm Dunes/Jugner Forest/the Batallia Downs/North Gustaberg/South Gustaberg/the Konschtat Highlands/the Pashhow Marshlands/the Rolanberry Fields/Beaucedine Glacier/Xarcabard/West Sarutabaruta/East Sarutabaruta/the Tahrongi Canyon/the Buburimu Peninsula/the Meriphataud Mountains/the Sauromugue Champaign/Qufim Island/Behemoth's Dominion/Cape Teriggan/the Eastern Altepa Desert/the Sanctuary of Zi'Tah/Ro'Maeve/the Yuhtunga Jungle/the Yhoator Jungle/the Western Altepa Desert/the Valley of Sorrows]!;${color-alt: 161}A mog tablet has been discovered in ${choice: 0}[West Ronfaure/East Ronfaure/the La Theine Plateau/the Valkurm Dunes/Jugner Forest/the Batallia Downs/North Gustaberg/South Gustaberg/the Konschtat Highlands/the Pashhow Marshlands/the Rolanberry Fields/Beaucedine Glacier/Xarcabard/West Sarutabaruta/East Sarutabaruta/the Tahrongi Canyon/the Buburimu Peninsula/the Meriphataud Mountains/the Sauromugue Champaign/Qufim Island/Behemoth's Dominion/Cape Teriggan/the Eastern Altepa Desert/the Sanctuary of Zi'Tah/Ro'Maeve/the Yuhtunga Jungle/the Yhoator Jungle/the Western Altepa Desert/the Valley of Sorrows]!
${color-alt: 161}The complete set of mog tablets has been restored to Ru'Lude Gardens!;${color-alt: 161}The complete set of mog tablets has been restored to Ru'Lude Gardens!
The ancient magic of King Kupofried permeates the air to instill adventurers in this area with its Super Kupowers!;The ancient magic of King Kupofried permeates the air to instill adventurers in this area with its Super Kupowers!
${color-alt: 161}The strength of the ancient moogle magic has weakened, and the tablets have been scattered to the winds once more.;${color-alt: 161}The strength of the ancient moogle magic has weakened, and the tablets have been scattered to the winds once more.
You can feel your Super Kupowers begin to fade away...;You can feel your Super Kupowers begin to fade away...
${color-alt: 161}This area is currently affected by the Super Kupower: “Thrifty Transit”!;${color-alt: 161}This area is currently affected by the Super Kupower: “Thrifty Transit”!
${color-alt: 161}This area is currently affected by the Super Kupower: “Martial Master”!;${color-alt: 161}This area is currently affected by the Super Kupower: “Martial Master”!
${color-alt: 161}This area is currently affected by the Super Kupower: “Blood of the Vampyr”!;${color-alt: 161}This area is currently affected by the Super Kupower: “Blood of the Vampyr”!
${color-alt: 161}This area is currently affected by the Super Kupower: “Treasure Hound”!;${color-alt: 161}This area is currently affected by the Super Kupower: “Treasure Hound”!
${color-alt: 161}This area is currently affected by the Super Kupower: “Artisan's Advantage”!;${color-alt: 161}This area is currently affected by the Super Kupower: “Artisan's Advantage”!
${color-alt: 161}This area is currently affected by the Super Kupower: “Myriad Mystery Boxes”!;${color-alt: 161}This area is currently affected by the Super Kupower: “Myriad Mystery Boxes”!
${color-alt: 161}This area is currently affected by the Super Kupower: “Dilatory Digestion”!;${color-alt: 161}This area is currently affected by the Super Kupower: “Dilatory Digestion”!
${color-alt: 161}This area is currently affected by the Super Kupower: “Boundary Buster”!;${color-alt: 161}This area is currently affected by the Super Kupower: “Boundary Buster”!
${color-alt: 161}This area is currently affected by the Super Kupower: “Bountiful Bazaar”!;${color-alt: 161}This area is currently affected by the Super Kupower: “Bountiful Bazaar”!
${color-alt: 161}This area is currently affected by the Super Kupower: “Swift Shoes”!;${color-alt: 161}This area is currently affected by the Super Kupower: “Swift Shoes”!
${color-alt: 161}This area is currently affected by the Super Kupower: “Crystal Caboodle”!;${color-alt: 161}This area is currently affected by the Super Kupower: “Crystal Caboodle”!
${color-alt: 161}The ancient magic of King Kupofried fills the air, its glorious Super Kupowers bringing happiness and joy to the realm!;${color-alt: 161}The ancient magic of King Kupofried fills the air, its glorious Super Kupowers bringing happiness and joy to the realm!
Visit the Explorer Moogle in Ru'Lude Gardens to find out more.;Visit the Explorer Moogle in Ru'Lude Gardens to find out more.
${color-alt: 161}This area is currently affected by the Super Kupower: “${choice: 0}[/Thrifty Transit/Martial Master/Blood of the Vampyr/Treasure Hound/Artisan's Advantage/Myriad Mystery Boxes/Dilatory Digestion/Boundary Buster/Bountiful Bazaar/Swift Shoes/Crystal Caboodle]”!;${color-alt: 161}This area is currently affected by the Super Kupower: “${choice: 0}[/Thrifty Transit/Martial Master/Blood of the Vampyr/Treasure Hound/Artisan's Advantage/Myriad Mystery Boxes/Dilatory Digestion/Boundary Buster/Bountiful Bazaar/Swift Shoes/Crystal Caboodle]”!
This area is currently affected by the Super Kupower: “${choice: 1}[/Thrifty Transit/Martial Master/Blood of the Vampyr/Treasure Hound/Artisan's Advantage/Myriad Mystery Boxes/Dilatory Digestion/Boundary Buster/Bountiful Bazaar/Swift Shoes/Crystal Caboodle]”!;This area is currently affected by the Super Kupower: “${choice: 1}[/Thrifty Transit/Martial Master/Blood of the Vampyr/Treasure Hound/Artisan's Advantage/Myriad Mystery Boxes/Dilatory Digestion/Boundary Buster/Bountiful Bazaar/Swift Shoes/Crystal Caboodle]”!
