Phrase en Anglais;Phrase en Français
The client sent an invalid value to the server!${prompt};The client sent an invalid value to the server!${prompt}
You cannot receive mission assignments at this time.${prompt};You cannot receive mission assignments at this time.${prompt}
I am in charge of assigning missions, but I am only allowed to do so to those whose allegiance is to Bastok.${prompt};I am in charge of assigning missions, but I am only allowed to do so to those whose allegiance is to Bastok.${prompt}
You cannot undertake two missions at the same time.;You cannot undertake two missions at the same time.
Finish the one you are on now before asking for a new one.${prompt};Finish the one you are on now before asking for a new one.${prompt}
Missions currently available are as follows:${prompt};Missions currently available are as follows:${prompt}
Which mission will you undertake?;Which mission will you undertake?
${selection-lines};${selection-lines}
The Zeruhn Report.;The Zeruhn Report.
A Geological Survey.;A Geological Survey.
Fetichism.;Fetichism.
The Crystal Line.;The Crystal Line.
Wading Beasts.;Wading Beasts.
The Emissary.;The Emissary.
2-3-1A.;2-3-1A.
2-3-1B.;2-3-1B.
2-3-2A.;2-3-2A.
2-3-2B.;2-3-2B.
The Four Musketeers.;The Four Musketeers.
To the Forsaken Mines.;To the Forsaken Mines.
Jeuno.;Jeuno.
ダミー.;ダミー.
Darkness Rising.;Darkness Rising.
Xarcabard, Land of Truths.;Xarcabard, Land of Truths.
Return of the Talekeeper.;Return of the Talekeeper.
The Pirates' Cove.;The Pirates' Cove.
The Final Image.;The Final Image.
On My Way.;On My Way.
The Chains That Bind Us.;The Chains That Bind Us.
Enter the Talekeeper.;Enter the Talekeeper.
The Salt of the Earth.;The Salt of the Earth.
Where Two Paths Converge.;Where Two Paths Converge.
ダミー１０.;ダミー１０.
ダミー１１.;ダミー１１.
ダミー１２.;ダミー１２.
ダミー１３.;ダミー１３.
ダミー１４.;ダミー１４.
ダミー１５.;ダミー１５.
ダミー１６.;ダミー１６.
None.${prompt};None.${prompt}
I am in charge of assigning missions to Bastokers who wish to serve their country. Are you one of them?${prompt};I am in charge of assigning missions to Bastokers who wish to serve their country. Are you one of them?${prompt}
Have you come to undertake a mission?;Have you come to undertake a mission?
${selection-lines};${selection-lines}
Yes, I have.;Yes, I have.
No, maybe later.${prompt};No, maybe later.${prompt}
Will you accept this mission?;Will you accept this mission?
${selection-lines};${selection-lines}
Yes.;Yes.
No.${prompt};No.${prompt}
You have accepted the mission.${prompt};You have accepted the mission.${prompt}
Then move along.${prompt};Then move along.${prompt}
Good.;Good.
This is your first time going on a mission, is it not?${prompt};This is your first time going on a mission, is it not?${prompt}
Your first assignment is not a difficult one.;Your first assignment is not a difficult one.
The details are as follows:${prompt};The details are as follows:${prompt}
You must go to the Zeruhn Mines in the western section of the Mines District.;You must go to the Zeruhn Mines in the western section of the Mines District.
Once there, you are to collect a report from the overseer.${prompt};Once there, you are to collect a report from the overseer.${prompt}
You can consult the “Mission” section of the main menu to review your objectives.;You can consult the “Mission” section of the main menu to review your objectives.
Speed and efficiency are your priorities. Dismissed.${prompt};Speed and efficiency are your priorities. Dismissed.${prompt}
The Chief Engineer is conducting new research, and has asked for someone to assist him.;The Chief Engineer is conducting new research, and has asked for someone to assist him.
He can be found in the Metalworks, to the east of the administrative section.${prompt};He can be found in the Metalworks, to the east of the administrative section.${prompt}
The Chief Engineer's laboratory is on the second floor of the Metalworks.;The Chief Engineer's laboratory is on the second floor of the Metalworks.
You don't know his name!? And you call yourself a Bastoker!${prompt};You don't know his name!? And you call yourself a Bastoker!${prompt}
The Chief Engineer's name is Cid. Any Bastoker would know that!;The Chief Engineer's name is Cid. Any Bastoker would know that!
Now go and see him. He will give you the details of your mission.${prompt};Now go and see him. He will give you the details of your mission.${prompt}
The Palborough Mines, once our main source of mythril, have been under beastman control for some time.${prompt};The Palborough Mines, once our main source of mythril, have been under beastman control for some time.${prompt}
We want you to hunt these beastmen, the Quadav, and bring back ${article} ${item-article: 4[2]}, ${article} ${item-article: 5[2]}, ${article} ${item-article: 6[2]}, and ${article} ${item-article: 7[2]} as proof of your accomplishments.${prompt};We want you to hunt these beastmen, the Quadav, and bring back ${article} ${item-article: 4[2]}, ${article} ${item-article: 5[2]}, ${article} ${item-article: 6[2]}, and ${article} ${item-article: 7[2]} as proof of your accomplishments.${prompt}
You must present all four items to me or one of my colleagues in order to complete this mission.${prompt};You must present all four items to me or one of my colleagues in order to complete this mission.${prompt}
Good, you've brought all four parts of the doll.${prompt};Good, you've brought all four parts of the doll.${prompt}
I am raising your rank to 2 for completing this mission.;I am raising your rank to 2 for completing this mission.
Congratulations.${prompt};Congratulations.${prompt}
If you've been to the Palborough Mines, you must know now the serious nature of the threat these beastmen pose to our civilization.${prompt};If you've been to the Palborough Mines, you must know now the serious nature of the threat these beastmen pose to our civilization.${prompt}
As a Bastoker, you are expected to take on more missions and go on conquests to preserve Bastok's brilliant future!${prompt};As a Bastoker, you are expected to take on more missions and go on conquests to preserve Bastok's brilliant future!${prompt}
But I cannot give you a new mission at this time.${prompt};But I cannot give you a new mission at this time.${prompt}
You need to collect rank points before taking on new missions.${prompt};You need to collect rank points before taking on new missions.${prompt}
You can receive rank points by participating in conquests and donating the crystals you acquire to guards, or by undertaking missions you've previously completed.${prompt};You can receive rank points by participating in conquests and donating the crystals you acquire to guards, or by undertaking missions you've previously completed.${prompt}
Ask the High Guard near the gatehouse if you wish to hear more about conquests.${prompt};Ask the High Guard near the gatehouse if you wish to hear more about conquests.${prompt}
Have you heard of a strange structure called the Crag of Dem? It is on the Konschtat Highlands, north of the Gustaberg Mountains.${prompt};Have you heard of a strange structure called the Crag of Dem? It is on the Konschtat Highlands, north of the Gustaberg Mountains.${prompt}
They say that crystals are drained of their power if you take them to a certain section of that structure.${prompt};They say that crystals are drained of their power if you take them to a certain section of that structure.${prompt}
Chief Cid is currently investigating this strange phenomenon, and is asking for someone to bring back a faded crystal.${prompt};Chief Cid is currently investigating this strange phenomenon, and is asking for someone to bring back a faded crystal.${prompt}
Go see him for a more detailed explanation of your objectives.${prompt};Go see him for a more detailed explanation of your objectives.${prompt}
You want a crystal to use for this experiment? Are you not an adventurer? It should be easy for you to procure one.${prompt};You want a crystal to use for this experiment? Are you not an adventurer? It should be easy for you to procure one.${prompt}
You are to collect ${article} ${item-article: 7[2]} from beasts in the Dangruf Wadi.${prompt};You are to collect ${article} ${item-article: 7[2]} from beasts in the Dangruf Wadi.${prompt}
Senator Alois is in need of some. Do not ask me why.;Senator Alois is in need of some. Do not ask me why.
He can be found in the President's Office.${prompt};He can be found in the President's Office.${prompt}
You've acquired quite a reputation.;You've acquired quite a reputation.
There is a new mission for you to tackle.${prompt};There is a new mission for you to tackle.${prompt}
First, speak to Sir Naji of the Mythril Musketeers at the President's Office.;First, speak to Sir Naji of the Mythril Musketeers at the President's Office.
