Phrase en Anglais;Phrase en Français
The San d'Oria residential area is ahead. You'll find your Mog House within.${prompt};The San d'Oria residential area is ahead. You'll find your Mog House within.${prompt}
I've not told you about Mog Houses yet, have I? Would you care to learn about them now?${prompt};I've not told you about Mog Houses yet, have I? Would you care to learn about them now?${prompt}
Care to learn about Mog Houses?;Care to learn about Mog Houses?
${selection-lines};${selection-lines}
Sure!;Sure!
No, thanks.${prompt};No, thanks.${prompt}
Mog Houses are useful places. You can recover your HP and MP, and store items there.${prompt};Mog Houses are useful places. You can recover your HP and MP, and store items there.${prompt}
You can also change jobs there.;You can also change jobs there.
All adventurers of San d'Orian citizenship are assigned a Mog House.${prompt};All adventurers of San d'Orian citizenship are assigned a Mog House.${prompt}
Make yourself at home!${prompt};Make yourself at home!${prompt}
The San d'Oria residential area is ahead. You'll find your Mog House within.${prompt};The San d'Oria residential area is ahead. You'll find your Mog House within.${prompt}
Would you like to hear about Mog Houses again?${prompt};Would you like to hear about Mog Houses again?${prompt}
Hmm... So be it.${prompt};Hmm... So be it.${prompt}
Ahead lies the residential area. You'll find your Mog House within.${prompt};Ahead lies the residential area. You'll find your Mog House within.${prompt}
By the way, my records indicate that you're renting a room in ${choice: 0}[San d'Oria/Bastok/Windurst/Jeuno/Kazham/Rabao/Norg/Al Zahbi].${prompt};By the way, my records indicate that you're renting a room in ${choice: 0}[San d'Oria/Bastok/Windurst/Jeuno/Kazham/Rabao/Norg/Al Zahbi].${prompt}
Would you like to check out of the room in ${choice: 0}[San d'Oria/Bastok/Windurst/Jeuno/Kazham/Rabao/Norg/Al Zahbi] and move your things back here?${prompt};Would you like to check out of the room in ${choice: 0}[San d'Oria/Bastok/Windurst/Jeuno/Kazham/Rabao/Norg/Al Zahbi] and move your things back here?${prompt}
Move back to San d'Oria?;Move back to San d'Oria?
${selection-lines};${selection-lines}
Yes, please.;Yes, please.
No, not yet.${prompt};No, not yet.${prompt}
It is done. We've checked you out of your Rent-a-Room in ${choice: 0}[San d'Oria/Bastok/Windurst/Jeuno/Kazham/Rabao/Norg/Al Zahbi].${prompt};It is done. We've checked you out of your Rent-a-Room in ${choice: 0}[San d'Oria/Bastok/Windurst/Jeuno/Kazham/Rabao/Norg/Al Zahbi].${prompt}
All your belongings should be waiting for you inside. Those moogles are amazing creatures, are they not?${prompt};All your belongings should be waiting for you inside. Those moogles are amazing creatures, are they not?${prompt}
Ahead lies the residential area. Proceed to your Rent-a-Room, foreigner!${prompt};Ahead lies the residential area. Proceed to your Rent-a-Room, foreigner!${prompt}
If you're already renting here, you may come and go as you please, like the Mog House in your homeland.${prompt};If you're already renting here, you may come and go as you please, like the Mog House in your homeland.${prompt}
Ahead lies the residential area.${prompt};Ahead lies the residential area.${prompt}
Wait! By law, all foreigners must lease a Rent-a-Room before entering the residential area!${prompt};Wait! By law, all foreigners must lease a Rent-a-Room before entering the residential area!${prompt}
Once you've registered with us, you can use it as you would a Mog House back home, wherever that may be.${prompt};Once you've registered with us, you can use it as you would a Mog House back home, wherever that may be.${prompt}
Will you stay in San d'Oria?;Will you stay in San d'Oria?
${selection-lines};${selection-lines}
Yes.;Yes.
No, I'd rather not.${prompt};No, I'd rather not.${prompt}
All right, then. A San d'Orian Rent-a-Room has been leased to your name. Now move along, foreigner!${prompt};All right, then. A San d'Orian Rent-a-Room has been leased to your name. Now move along, foreigner!${prompt}
You can set this as your current home point.;Vous pouvez définir ceci comme votre point de retour actuel.
Once you set a home point, you will return there whenever you are incapacitated.;Une fois que vous avez défini un point de retour, vous y retournerez chaque fois que vous serez mis hors de combat.
Set this as current home point?;Définir ceci comme point de retour actuel ?
${selection-lines};${selection-lines}
Yes.;Oui.
No.${prompt};Non.${prompt}
Home point set!${prompt};Point de retour défini !${prompt}
A home point can be set as a spot for you to return to Vana'diel when you have been knocked out. You can also use a home point to teleport to other home points.;Un point de retour peut être défini comme un endroit où vous revenez à Vana'diel lorsque vous avez été mis hors de combat. Vous pouvez également utiliser un point de retour pour vous téléporter vers d'autres points de retour.
What will you do?;Que voulez-vous faire ?
${selection-lines};${selection-lines}
Travel to another home point.;Voyager vers un autre point de retour.
Set this as your home point.;Définir ceci comme votre point de retour.
Other settings.;Autres paramètres.
On second thought, never mind.${prompt};En fin de compte, laissez tomber.${prompt}
You have registered a new home point!;Vous avez enregistré un nouveau point de retour !
You are now able to teleport here from any other home point.${prompt};Vous pouvez désormais vous téléporter ici depuis n'importe quel autre point de retour.${prompt}
You may teleport from here to any other home point you have registered.;Vous pouvez vous téléporter d'ici vers n'importe quel autre point de retour que vous avez enregistré.
Teleport where?;Où téléporter ?
${selection-lines};${selection-lines}
Never mind.;Laissez tomber.
${zone: 1[2]}.;${zone: 1[2]}.
${zone: 2[2]}.;${zone: 2[2]}.
${zone: 3[2]}.;${zone: 3[2]}.
${zone: 4[2]}.;${zone: 4[2]}.
${zone: 5[2]}.;${zone: 5[2]}.
${zone: 6[2]}.;${zone: 6[2]}.
${zone: 7[2]}.;${zone: 7[2]}.
${zone: 8[2]}.;${zone: 8[2]}.
${zone: 9[2]}.;${zone: 9[2]}.
${zone: 10[2]}.;${zone: 10[2]}.
${zone: 11[2]}.;${zone: 11[2]}.
${zone: 12[2]}.;${zone: 12[2]}.
${zone: 13[2]}.;${zone: 13[2]}.
${zone: 14[2]}.;${zone: 14[2]}.
${zone: 15[2]}.;${zone: 15[2]}.
${zone: 16[2]}.;${zone: 16[2]}.
Previous page.;Page précédente.
Next page.${prompt};Page suivante.${prompt}
Teleport where?（${zone: 33[2]}）;Où téléporter ?（${zone: 33[2]}）
${selection-lines};${selection-lines}
Nowhere.;Nulle part.
Home Point #1${choice: 1}[/ (M)/ (A)/ (E)].;Point de retour #1${choice: 1}[/ (M)/ (A)/ (E)].
Home Point #2${choice: 2}[/ (M)/ (A)/ (E)].;Point de retour #2${choice: 2}[/ (M)/ (A)/ (E)].
Home Point #3${choice: 3}[/ (M)/ (A)/ (E)].;Point de retour #3${choice: 3}[/ (M)/ (A)/ (E)].
Home Point #4${choice: 4}[/ (M)/ (A)/ (E)].;Point de retour #4${choice: 4}[/ (M)/ (A)/ (E)].
Home Point #5${choice: 5}[/ (M)/ (A)/ (E)].${prompt};Point de retour #5${choice: 5}[/ (M)/ (A)/ (E)].${prompt}
You have not yet registered any other home points, and thus are unable to teleport.${prompt};Vous n'avez enregistré aucun autre point de retour, vous ne pouvez donc pas vous téléporter.${prompt}
It costs ${number: 3} gil to teleport to Home Point #${number: 2} in ${zone: 1[2]}.;Il en coûte ${number: 3} gil pour se téléporter au point de retour #${number: 2} dans ${zone: 1[2]}.
There is no fee for teleporting to Home Point #${number: 2} in ${zone: 1[2]}.;Il n’y a pas de frais pour se téléporter au point de retour #${number: 2} dans ${zone: 1[2]}.
Teleport? (Current gil: ${number: 0});Téléporter ? (Gil actuel : ${number: 0})
${selection-lines};${selection-lines}
${choice: 33}[Add to favorites/Remove from favorites].;${choice: 33}[Ajouter aux favoris/Retirer des favoris].
Yes, please.;Oui, s'il vous plaît.
No, thank you.${prompt};Non, merci.${prompt}
Teleport to which region?;Téléporter vers quelle région ?
${selection-lines};${selection-lines}
On second thought, none.;En fin de compte, aucune.
Select from favorites.;Sélectionner parmi les favoris.
Current region.;Région actuelle.
${choice: 1}[San d'Oria/Movalpolos].;${choice: 1}[San d'Oria/Movalpolos].
${choice: 1}[Bastok/Tavnazian Arch].;${choice: 1}[Bastok/Archipel de Tavnazia].
