Phrase en Anglais;Phrase en Français
Tallying conquest results...${prompt};Tallying conquest results...${prompt}
Conquest results tallied.${prompt};Conquest results tallied.${prompt}
This region is currently under San d'Orian control.${prompt};This region is currently under San d'Orian control.${prompt}
This region is currently under Bastokan control.${prompt};This region is currently under Bastokan control.${prompt}
This region is currently under Windurstian control.${prompt};This region is currently under Windurstian control.${prompt}
This region is currently under beastman control.;This region is currently under beastman control.
You cannot obtain crystals in this region.${prompt};You cannot obtain crystals in this region.${prompt}
This region is currently neutral.${prompt};This region is currently neutral.${prompt}
Global balance of power:;Global balance of power:
1st: San d'Oria;1st: San d'Oria
2nd: Windurst;2nd: Windurst
3rd: Bastok${prompt};3rd: Bastok${prompt}
All three nations are tied for first place.${prompt};All three nations are tied for first place.${prompt}
Global balance of power:;Global balance of power:
1st: San d'Oria and Windurst (tie);1st: San d'Oria and Windurst (tie)
3rd: Bastok${prompt};3rd: Bastok${prompt}
Global balance of power:;Global balance of power:
1st: San d'Oria;1st: San d'Oria
2nd: Bastok and Windurst (tie)${prompt};2nd: Bastok and Windurst (tie)${prompt}
Global balance of power:;Global balance of power:
1st: San d'Oria;1st: San d'Oria
2nd: Bastok;2nd: Bastok
3rd: Windurst${prompt};3rd: Windurst${prompt}
All three nations are tied for first place.${prompt};All three nations are tied for first place.${prompt}
Global balance of power:;Global balance of power:
1st: San d'Oria and Bastok (tie);1st: San d'Oria and Bastok (tie)
3rd: Windurst${prompt};3rd: Windurst${prompt}
Global balance of power:;Global balance of power:
1st: San d'Oria;1st: San d'Oria
2nd: Bastok and Windurst (tie)${prompt};2nd: Bastok and Windurst (tie)${prompt}
Global balance of power:;Global balance of power:
1st: Bastok;1st: Bastok
2nd: San d'Oria;2nd: San d'Oria
3rd: Windurst${prompt};3rd: Windurst${prompt}
All three nations are tied for first place.${prompt};All three nations are tied for first place.${prompt}
Global balance of power:;Global balance of power:
1st: San d'Oria and Bastok (tie);1st: San d'Oria and Bastok (tie)
3rd: Windurst${prompt};3rd: Windurst${prompt}
Global balance of power:;Global balance of power:
1st: Bastok;1st: Bastok
2nd: San d'Oria and Windurst (tie)${prompt};2nd: San d'Oria and Windurst (tie)${prompt}
Global balance of power:;Global balance of power:
1st: Bastok;1st: Bastok
2nd: Windurst;2nd: Windurst
3rd: San d'Oria${prompt};3rd: San d'Oria${prompt}
All three nations are tied for first place.${prompt};All three nations are tied for first place.${prompt}
Global balance of power:;Global balance of power:
1st: Bastok and Windurst (tie);1st: Bastok and Windurst (tie)
3rd: San d'Oria${prompt};3rd: San d'Oria${prompt}
Global balance of power:;Global balance of power:
1st: Bastok;1st: Bastok
2nd: San d'Oria and Windurst (tie)${prompt};2nd: San d'Oria and Windurst (tie)${prompt}
Global balance of power:;Global balance of power:
1st: Windurst;1st: Windurst
2nd: San d'Oria;2nd: San d'Oria
3rd: Bastok${prompt};3rd: Bastok${prompt}
Global balance of power:;Global balance of power:
All three nations are tied for first place.${prompt};All three nations are tied for first place.${prompt}
Global balance of power:;Global balance of power:
1st: San d'Oria and Windurst (tie);1st: San d'Oria and Windurst (tie)
3rd: Bastok${prompt};3rd: Bastok${prompt}
Global balance of power:;Global balance of power:
1st: Windurst;1st: Windurst
2nd: San d'Oria and Bastok (tie)${prompt};2nd: San d'Oria and Bastok (tie)${prompt}
Global balance of power:;Global balance of power:
1st: Windurst;1st: Windurst
2nd: Bastok;2nd: Bastok
3rd: San d'Oria${prompt};3rd: San d'Oria${prompt}
All three nations are tied for first place.${prompt};All three nations are tied for first place.${prompt}
Global balance of power:;Global balance of power:
1st: Bastok and Windurst;1st: Bastok and Windurst
2nd: San d'Oria${prompt};2nd: San d'Oria${prompt}
Global balance of power:;Global balance of power:
1st: Windurst;1st: Windurst
2nd: San d'Oria and Bastok${prompt};2nd: San d'Oria and Bastok${prompt}
Conquest update:;Conquest update:
This region is currently neutral.${prompt};This region is currently neutral.${prompt}
Conquest update:;Conquest update:
This region is currently under San d'Orian control.${prompt};This region is currently under San d'Orian control.${prompt}
Conquest update:;Conquest update:
This region is currently under Bastokan control.${prompt};This region is currently under Bastokan control.${prompt}
Conquest update:;Conquest update:
This region is currently under Windurstian control.${prompt};This region is currently under Windurstian control.${prompt}
Conquest update:;Conquest update:
This region is currently under beastman control.;This region is currently under beastman control.
You cannot obtain crystals in this region.${prompt};You cannot obtain crystals in this region.${prompt}
All three nations are at a deadlock.${prompt};All three nations are at a deadlock.${prompt}
The beastmen are on the rise.${prompt};The beastmen are on the rise.${prompt}
Regional influence:;Regional influence:
San d'Oria - Dominant${prompt};San d'Oria - Dominant${prompt}
Regional influence:;Regional influence:
San d'Oria - Major${prompt};San d'Oria - Major${prompt}
Regional influence:;Regional influence:
San d'Oria - Minor${prompt};San d'Oria - Minor${prompt}
Regional influence:;Regional influence:
San d'Oria - Minimal${prompt};San d'Oria - Minimal${prompt}
Bastok - Dominant${prompt};Bastok - Dominant${prompt}
Bastok - Major${prompt};Bastok - Major${prompt}
Bastok - Minor${prompt};Bastok - Minor${prompt}
Bastok - Minimal${prompt};Bastok - Minimal${prompt}
Windurst - Dominant${prompt};Windurst - Dominant${prompt}
Windurst - Major${prompt};Windurst - Major${prompt}
Windurst - Minor${prompt};Windurst - Minor${prompt}
Windurst - Minimal${prompt};Windurst - Minimal${prompt}
Bastok and Windurst have formed an alliance.${prompt};Bastok and Windurst have formed an alliance.${prompt}
San d'Oria and Windurst have formed an alliance.${prompt};San d'Oria and Windurst have formed an alliance.${prompt}
